@type|@id|@lat|@lon|addr:city|addr:housenumber|addr:postcode|addr:street|addr:place|name|brand
node|2928048654|51.3010950|16.9154691|Oborniki Śląskie|2|55-120|Marii Skłodowskiej-Curie||Delikatesy Centrum|
node|2935179007|49.9785814|20.9038009|Zgłobice|26|33-113|Krakowska||Delikatesy Centrum|Delikatesy Centrum
node|2958447050|49.9255547|21.9329579||||||Delikatesy Centrum|Delikatesy Centrum
node|2962193005|50.0048211|22.0091228|Rzeszów|67|35-604|Jazowa||Delikatesy Centrum|
node|2963126945|49.9556521|21.9150824||||||Delikatesy Centrum|
node|2964977018|49.9789751|21.9926180||||||Delikatesy Centrum|Delikatesy Centrum
node|2972588432|53.7985408|17.2518426|Przechlewo|22|77-320|Człuchowska||Delikatesy Centrum|Delikatesy Centrum
node|2972595100|53.5397068|17.2410098|Debrzno|7|77-310|Czerniakowska||Delikatesy Centrum|Delikatesy Centrum
node|2975367199|50.0559572|22.2721434||301A|37-100||Sonina|Delikatesy Centrum|Delikatesy Centrum
node|2976493412|50.1532360|18.5993358|Książenice|4A|44-213|Teofila Brzozy||Delikatesy Centrum|Delikatesy Centrum
node|2984966297|53.1094506|19.0517339|Golub-Dobrzyń|3|87-400|Plac Tysiąclecia||Delikatesy Centrum|
node|2993581645|50.4635315|22.9125076||||||Delikatesy Centrum|Delikatesy Centrum
node|2999186270|52.2617545|20.9940919|Warszawa|1/3|01-523|Śmiała||Delikatesy Centrum|Delikatesy Centrum
node|3017229121|50.0249997|22.7153421||||||Delikatesy Centrum|
node|3023958512|49.9879848|19.6751579||||||Delikatesy Centrum|
node|3027711812|49.8676979|21.6507486||||||Delikatesy Centrum|Delikatesy Centrum
node|3028702105|49.6631210|21.1661636|Gorlice|9|38-300|Juliana Tuwima||Delikatesy Centrum|
node|3035992281|51.7025541|16.7467205||||||Delikatesy Centrum|Delikatesy Centrum
node|3045409093|49.6754940|22.0510990||||||Delikatesy Centrum|
node|3045451788|49.6569437|22.0770679||||||Delikatesy Centrum|
node|3046474666|50.2635302|22.4099985||||||Delikatesy Centrum|
node|3059838572|49.8802896|21.1408100||||||Delikatesy Centrum|
node|3061281090|50.5814913|16.4975656|Nowa Ruda|11|57-400|Teatralna||Delikatesy Centrum|Delikatesy Centrum
node|3093760464|54.0370867|21.7543702||||||Delikatesy Centrum|Delikatesy Centrum
node|3094911334|49.7835762|20.9000567||||||Delikatesy Centrum|Delikatesy Centrum
node|3095242602|54.1766049|15.5663287|||78-100|||Delikatesy Centrum|
node|3097359483|52.4396897|15.5660097|Międzyrzecz|5|66-300|Krasińskiego||Delikatesy Centrum|
node|3115346653|54.4366852|17.7354996||||||Delikatesy Centrum|Delikatesy Centrum
node|3147794390|50.6982968|23.3030875||||||Delikatesy Centrum|Delikatesy Centrum
node|3151159083|49.9256546|22.1617111||||||Delikatesy Centrum|
node|3160120432|53.6933914|17.5433099|Chojnice|20|89-600|Kardynała Stefana Wyszyńskiego||Delikatesy Centrum|Delikatesy Centrum
node|3201943700|51.9814392|23.3794302|Piszczac|1|21-530|Polna||Delikatesy Centrum|Delikatesy Centrum
node|3211732719|50.3352192|22.8427699||||||Delikatesy Centrum|
node|3212222127|51.1160626|17.0078572|Wrocław|13|53-650|Stefana Czarnieckiego||Delikatesy Centrum|Delikatesy Centrum
node|3224144477|51.8932684|17.7805602|Pleszew|16|63-300|Juliusza Słowackiego||Delikatesy Centrum|
