Lp.,Nazwa ulicy / rejon,Numer,Nazwa przystanku,NOWY Numer,NOWA Nazwa przystanku,Dostępność
217,Promowa,,NOWY PRZYSTANEK,02,Kogucia,ogólnodostępny
218,Promykowa,,NOWY PRZYSTANEK,01,Ruszczyca,ogólnodostępny
219,Promykowa,,NOWY PRZYSTANEK,02,Ruszczyca,ogólnodostępny
220,Przemysłowa ,02, Morska,04,Urząd Skarbowy,ogólnodostępny
221,Przemysłowa ,01, Urząd Skarbowy,01,Przemysłowa,ogólnodostępny
222,Przemysłowa ,04,Urząd Celny,02,Urząd Celny,ogólnodostępny
223,Przemysłowa ,03, Janex,01,Urząd Celny,ogólnodostępny
224,Rolna,02,Giełda,04 ,Park Wodny,ogólnodostępny
225,Romualda Traugutta ,04, Piłsudskiego,02,Orląt Lwowskich,operator publicznego transportu zbiorowego
226,Romualda Traugutta ,02, Zgody,02,Traugutta,operator publicznego transportu zbiorowego
227,Romualda Traugutta ,01, Nowowiejskiego,01,Traugutta,operator publicznego transportu zbiorowego
228,Rotmistrza Witolda Pileckiego,02, Piłsudskiego,02,Pileckiego,ogólnodostępny
229,Seminaryjna ,02, Połczyńska,02,Seminaryjna,ogólnodostępny
230,Seminaryjna ,04,Seminarium,02,Seminarium,ogólnodostępny
231,Sianowska,01, Zdobywców Wału Pomorskiego,01,Sianowska,ogólnodostępny
232,Słowiańska ,01, Lechicka,01,Słowiańska,ogólnodostępny
233,Słowiańska ,02, Lechicka,02,Słowiańska,ogólnodostępny
234,Słowiańska ,04,MEC,02,MEC,ogólnodostępny
235,Słowiańska ,03, Połczyńska,02,Dobrzyckiego,ogólnodostępny
236,Słupska ,01, Sanktuarium,01,Sanktuarium,ogólnodostępny
237,Spokojna ,02, Franciszkańska,02,Spokojna,ogólnodostępny
238,Starowiejska ,01,Farmerska,01,Farmerska,ogólnodostępny
239,Starowiejska ,02,Farmerska,02,Farmerska,ogólnodostępny
240,Starowiejska ,03, Wilków Morskich,01,Wilków Morskich,ogólnodostępny
241,Starowiejska ,04, Wilków Morskich,02,Wilków Morskich,ogólnodostępny
242,Strefowa ,01,Elfa,01,Strefowa,ogólnodostępny
243,Strefowa ,02, Elfa,02,Strefowa,ogólnodostępny
244,Strefowa ,03,Zakład Karny,01,Zakład Karny,ogólnodostępny
245,Strefowa ,04,Zakład Karny,02,Zakład Karny,ogólnodostępny
246,Sybiraków ,02, Paderewskiego,02,Wodna Dolina,ogólnodostępny
247,Sybiraków ,01, Działki,01,Sybiraków,ogólnodostępny
248,Sybiraków ,04,4 Marca,02,4 Marca,ogólnodostępny
249,Syrenki,01,Bohaterów Warszawy,01,Syrenki,ogólnodostępny
250,Syrenki,02,Szczecińska,04,Szczecińska Rondo,ogólnodostępny
251,Szczecińska,06, Syrenki,02,Szczecińska Rondo,ogólnodostępny
252,Szczecińska,09, Szczecińska pętla,03,Szczecińska ,ogólnodostępny
253,Szczecińska ,02, Mieszka I,02,Jasna,ogólnodostępny
254,Szczecińska ,01,Jasna,01,Jasna,ogólnodostępny
255,Szczecińska ,04, Brzozowa,02,ZZDW,ogólnodostępny
256,Szczecińska ,03, ZDW,01,ZZDW,ogólnodostępny
257,Szczecińska ,05, Sklep meblowy,01,Szczecińska Usługi,ogólnodostępny
258,Szczecińska ,08, Zakłady Usługowe,02,Szczecińska Usługi,ogólnodostępny
259,Szczecińska ,10, Stare Bielice,02,Szczecińska ,ogólnodostępny
260,Szczecińska ,07, Stare Bielice,01,Szczecińska ,ogólnodostępny
261,Śniadeckich,06, Oskara Lange,02,Śniadeckich,operator publicznego transportu zbiorowego
262,Śniadeckich ,02, Politechnika,02,Śniadeckich Politechnika,ogólnodostępny
263,Śniadeckich ,01, Jana Pawła II,01,Śniadeckich Politechnika,ogólnodostępny
264,Śniadeckich ,04, Kołłątaja,02,Śniadeckich Hala,operator publicznego transportu zbiorowego
265,Śniadeckich ,03, Oskara Lange,01,Śniadeckich,operator publicznego transportu zbiorowego
266,Św. Wojciecha,03, Ogrodnictwo,01,Gerberowa,ogólnodostępny
267,Św. Wojciecha,06, Wojska Polskiego,02,Gerberowa,ogólnodostępny
268,Św. Wojciecha ,02, Kościół,04,Św. Wojciecha,ogólnodostępny
269,Św. Wojciecha ,04,Jabłoniowa,02,Jabłoniowa,ogólnodostępny
270,Św. Wojciecha ,01, Cedrowa,01,Jabłoniowa,ogólnodostępny
271,Tadeusza Mazowieckiego,04,Franciszkańska,02,DPS,ogólnodostępny
272,Tadeusza Mazowieckiego,05,Władysława IV,01,Rondo Gen. Maczka,ogólnodostępny
273,Tytusa Chałubińskiego,,NOWY PRZYSTANEK,02,Chałubińskiego,ogólnodostępny
274,Tytusa Chałubińskiego,,NOWY PRZYSTANEK,04,Chałubińskiego,ogólnodostępny
275,Tytusa Chałubińskiego ,02,Szpital,02,Szpital,ogólnodostępny
276,Tytusa Chałubińskiego ,01,Szpital,01,Szpital,ogólnodostępny
277,Tytusa Chałubińskiego ,04, Leśna,02,PWSZ,ogólnodostępny
278,Tytusa Chałubińskiego ,03, Centrum Edukacji,01,Chałubińskiego,ogólnodostępny
279,Wenedów ,02, Osiedle,02,Wenedów,ogólnodostępny
280,Wenedów ,01, Słowiańska,01,Wenedów,ogólnodostępny
281,Westerplatte ,02, Wrześniowa,02,Wrześniowa,ogólnodostępny
282,Władysława IV,05, Kwiatkowskiego,01,Kwiatkowskiego,operator publicznego transportu zbiorowego
283,Władysława IV,07,RING,01,Rondo Gen. Maczka,ogólnodostępny
284,Władysława IV,09, Holenderska,01,Holenderska  ,ogólnodostępny
285,Władysława IV,10, Francuska,02,Francuska Działki,ogólnodostępny
286,Władysława IV,12, Duńska,02,Duńska Działki,ogólnodostępny
287,Władysława IV,14, Działki,02,Władysława IV Ogrody,ogólnodostępny
288,Władysława IV,,NOWY PRZYSTANEK,01,Wąwozowa,ogólnodostępny
289,Władysława IV ,02, Wańkowicza,02,Wańkowicza,ogólnodostępny
290,Władysława IV ,01, Kutrzeby,01,Wańkowicza,ogólnodostępny
291,Władysława IV ,03, Sikorskiego,01,Sikorskiego,operator publicznego transportu zbiorowego
292,Władysława IV ,04, Akademicka,02,Kwiatkowskiego,operator publicznego transportu zbiorowego
293,Władysława IV ,06, Wiadukt,06, Wiadukt,ogólnodostępny
294,Władysława IV ,08, Holenderska,02,Rondo Gen. Maczka,ogólnodostępny
295,Władysława IV ,11, Francuska,01,Francuska Działki,ogólnodostępny
296,Władysława IV ,13, Duńska,01,Duńska Działki,ogólnodostępny
297,Władysława IV ,15, Działki ,01,Władysława IV Ogrody,ogólnodostępny
298,Władysława IV ,16, Działki ,02,Władysława IV Działki,ogólnodostępny
299,Władysława IV ,17, Działki ,01,Władysława IV Działki,ogólnodostępny
300,Władysława IV ,19, Działki pętla,01,Węzeł Wschód,ogólnodostępny
301,Wojska Polskiego ,01, Szkoła ,01,Czaplówka,ogólnodostępny
302,Wojska Polskiego ,02, Szkoła,02,Czaplówka,ogólnodostępny
303,Wrzosów ,02, Połczyńska,02,Wrzosów,ogólnodostępny
304,Wrzosów ,01, Połczyńska ,01,Wrzosów,ogólnodostępny
305,Zagórzyno ,02, Zagórzyno pętla,02,Zagórzyno,ogólnodostępny
306,Zdobywców Wału Pomorskiego ,02,Wiśniowa,02,Wiśniowa,ogólnodostępny
307,Zdobywców Wału Pomorskiego ,01,Westerplatte,01,Westerplatte,ogólnodostępny
308,Zdobywców Wału Pomorskiego ,03,Westerplatte,02,Westerplatte,ogólnodostępny
309,Zwycięstwa ,01,Dworzec PKS,01,Dworzec PKS,operator publicznego transportu zbiorowego
310,Zwycięstwa ,02, Krakusa i Wandy,02,Dworzec PKS,operator publicznego transportu zbiorowego
311,Zwycięstwa ,03,Rynek Staromiejski,01,Rynek Staromiejski,operator publicznego transportu zbiorowego
312,Zwycięstwa ,04, Słowackiego,02,Rynek Staromiejski,operator publicznego transportu zbiorowego
313,Zwycięstwa ,06, Plac Wolności,02,CK 105,ogólnodostępny
314,Zwycięstwa ,08, Clausiusa,02,Clausiusa,operator publicznego transportu zbiorowego
315,Zwycięstwa ,05, Piłsudskiego,01,Clausiusa,operator publicznego transportu zbiorowego
316,Zwycięstwa ,07, Waryńskiego,01,Grottgera,operator publicznego transportu zbiorowego
317,Zwycięstwa ,10,Grottgera,02,Grottgera,operator publicznego transportu zbiorowego
318,Zwycięstwa ,09,Moniuszki,01,Moniuszki,ogólnodostępny
319,Zwycięstwa ,12, Tetmajera,02,Moniuszki,operator publicznego transportu zbiorowego
320,Zwycięstwa ,14, 4 Marca,02,Kaplica Wojskowa,ogólnodostępny
321,Zwycięstwa ,16,Zielona,02,Zielona,ogólnodostępny
322,Zwycięstwa ,11, Ruszczyca,01,Zielona,ogólnodostępny
323,Zwycięstwa ,18,Św. Wojciecha,02,Św. Wojciecha,ogólnodostępny
324,Zwycięstwa ,13, Artylerzystów,01,Św. Wojciecha,ogólnodostępny
325,Zwycięstwa ,15, Chełmoniewo pętla,01,Chełmoniewo,ogólnodostępny
326,Zwycięstwa ,20, Zdobywców Wału Pomorskiego,02,Chełmoniewo,ogólnodostępny
