operator,addr:housenumber,addr:street,addr:city,addr:place,addr:postcode,fuel:octane_95,fuel:octane_98,fuel:diesel,fuel:lpg,fuel:CNG
"Stacja Paliw Andrzej Gorwa, Marian Majsnerowski Sp.J.",63,Warszawska,Piaski,,63-820,yes,yes,yes,yes,
"Stadnina Koni Dębno Adam Lachera, Ewa Lachera, Żaneta Lachera Sp.J. (Stacja Franczyzowa Pkn Orlen 7251)",,,,POGORZELA,63-860,yes,yes,yes,yes,
Stacja Paliw Łagrom,67,Krotoszyńska,Pogorzela,,63-860,yes,,yes,,
"Stadnina Koni Dębno Adam Lachera, Ewa Lachera, Żaneta Lachera Sp.J.",2,Armi Poznań,Pogorzela,,63-860,yes,yes,yes,yes,
Phu Pieprzyk,,,,PONIEC,64-125,,,,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 296),1,Rydzyńska,Poniec,,64-125,yes,yes,yes,yes,
"Stacja Paliw Andrzej Gorwa, Marian Majsnerowski Spj",,,,SZELEJEWO DRUGIE,63-820,yes,,yes,yes,
Stacja Paliw St. Markowski  Szelejewo,,,,SZELEJEWO K/GOSTYNIA,63-820,yes,,yes,,
Hurtpetrol Spółka Z Ograniczoną Odpowiedzialnościa (Avia),82,Poznańska,Granowo,,62-066,yes,yes,yes,yes,
Pw Duet Andrzej Mateja (Stacja Franczyzowa Pkn Orlen 7291),1A,Poznańska,Granowo,,62-066,yes,yes,yes,yes,
Tank-Mark Sp.Z O.O.,135,Nowotomyska,Grodzisk Wielkopolski,,62-065,yes,yes,yes,yes,
"Stacja Paliw Pw ""Grokom""",5,27 Stycznia,Grodzisk Wielkopolski,,62-065,,,,yes,
Stacja Lpg  Maciej Węsierski,,,,GRODZISK WIELKOPOLSKI,62-065,,,,yes,
Pw Harpia Ł.R.,91,Bukowska,Grodzisk Wielkopolski,,62-065,yes,,yes,yes,
Przedsiębiorstwo Handlowo Usługowe Robert Szymkowiak,48,Środkowa,Grodzisk Wielkopolski,,62-065,,,yes,,
Circle K Polska Spółka Z Ograniczoną Odpowiedzialnością,37,Poznańska,Grodzisk Wielkopolski,,62-065,yes,,yes,yes,
Namaro Spółka Z Ograniczoną Odpowiedzialnością (Intermarche),89,Nowotomyska,Grodzisk Wielkopolski,,62-065,yes,,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 438),33,Rakoniewicka,Grodzisk Wielkopolski,,62-065,yes,yes,yes,yes,
Przedsiębiorstwo Romix Spółka Z Ograniczoną Odpowiedzialnością,4,Zielonogórska,Grodzisk Wielkopolski,,62-065,yes,yes,yes,yes,
Jan Piotrowski,,,,JABŁONNA,64-303,yes,,yes,,
Przedsiębiorstwo Wielobranżowe Duet Andrzej Mateja,5,Dożynkowa,Łubnica,,64-050,yes,,yes,yes,
"Przedsiębiorstwo Wielobranżowe ""Alicja"" Spółka Z Ograniczoną Odpowiedzialnością",1A,,,PLASTOWO,64-061,yes,yes,yes,yes,
Stacja Lpg,,,,RAKONIEWICE,62-067,,,,yes,
Atut Przedsiębiorstwo Wielobranżowe Sp. Z O.O. (Stacja Partnerska Marki Bp),51,Grodziska,Rakoniewice,,62-067,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 1150),2,Zamkowa,Rakoniewice,,62-067,yes,,yes,yes,
Stacja Paliw Henryk Nowak,6D,Rakoniewice Wieś,Rakoniewice-Wieś,,62-067,yes,,yes,yes,
Stacja Lpg,,,,WIELICHOWO,64-050,,,,yes,
"Phu Petropol Utrata, Cholewa, Utrata Sp.J.",49,Pocztowa,Wielichowo,,64-050,yes,,yes,yes,
M. Woźniak  R.Urbaniak,,,,GÓRA,63-233,,,,yes,
Eko - Lux Spółka Z Ograniczoną Odpowiedzialnoscią Spółka Komandytowa,45,Golska,Jaraczewo,,63-233,yes,,yes,yes,
"Przedsiebiorstwo Produkcyjno - Usługowo - Handlowe ""Marwit"" Marek Kaczmarek,",30,Al. Niepodległości,Jarocin,,63-200,,,,yes,
Firma Handlowa „ Piotrex” Piotr Kubiak,30,Poznańska,Jarocin,,63-200,,,,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna Nr 61,28A,Poznańska,Jarocin,,63-202,yes,yes,yes,yes,
"Galon Sp. J., Woźniak, Jarzyna, Urbaniak",120,Św.Ducha,Jarocin,,63-202,yes,yes,yes,yes,
Pw Duet Andrzej Mateja,2,Zaciszna,Jarocin,,63-202,yes,,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna Nr 4041,135A,Wojska Polskiego,Jarocin,,63-200,yes,yes,yes,yes,
Circle K Polska Spółka Z Ograniczoną Odpowiedzialnością,45A,Kościuszki,Jarocin,,63-200,yes,,yes,,
Shell Polska Spółka Z Ograniczoną Odpowiedzialnością (Stacja Nr 4214),79,Wrocławska,Jarocin,,63-200,yes,yes,yes,yes,
Birex Fuh Radosław Banaszyński,1,Powstanców Wielkopolskich,Jarocin,,63-200,yes,yes,yes,yes,
Stacja Paliw Lukoil (Amic Polska Spółka Z Ograniczoną Odpowiedzialnością),32,Wojska Polskiego,Jarocin,,63-200,yes,yes,yes,yes,
Centrum Produktów Naftowych Kruszyk S.J. I S-Ka,45,Moniuszki,Jarocin,,63-200,yes,,yes,yes,
"Stacja Paliw ""Szarotka"" Sp. Z O.O (Intermarche)",16,Powstańców Wielkopolskich,Jarocin,,63-200,yes,,yes,,
Stanisław Hadrzyński Przedsiębiorstwo Budowlano - Handlowe,44,Rymarkiewicza,Kotlin,,63-220,,,yes,,
Reco Sp. Z O.O. (Stacja Partnerska Marki Bp),46B,Poznańska,Kotlin,,63-220,yes,yes,yes,yes,
"Spółka Jawna T&J Tyrakowski, Jachnik, (Stacja Partnerska Marki Lotos)",2A,Sławoszewska,Kotlin,,63-220,yes,yes,yes,yes,
Eugeniusz Tyrakowski - Stacja Paliw Betia,,"Łobez 12A, 63-233",Łobez,,63-233,yes,yes,yes,yes,
Piotrex - Piotr Kubiak,64,,,ROSZKÓW,,,,,yes,
"Przedsiębiorstwo Instalacyjno-Usługowe Rol-Baz-Pal Jędrzejczak, Józwiak, Kamiński, Łyskawiński Spółka Jawna",19A,,,SIERSZEW,63-210,yes,,yes,yes,
"Przedsiębiorstwo Wielobranżowe  ""Pieprzyk"" Spółka Z Ograniczoną Odpowiedzialnością",57,Al. Wolności,Witaszyce,,63-205,yes,,yes,yes,
"Stacja Paliw ""Arpax"" Arkadiusz Pawlik",,,,WITASZYCZKI,63-230,yes,,yes,yes,
Kwitowski Sp. Z O.O.,6,Parkowa,Żerków,,63-210,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna Nr 1373,4,Gen. Zajączka,Brzeziny,,62-874,yes,,yes,yes,
Olkop Spółka Z Ograniczoną Odpowiedzialnością,85,,,DĘBE,62-817,yes,,yes,yes,
Stacja Paliw Zenon Słopień,24,Cmentarna,Godziesze,,62-872,yes,,yes,,
Nest Spółka Z Ograniczoną Odpowiedzialnością (Fr. Orlen),28,,,JÓZEFÓW,62-860,yes,yes,yes,yes,
Matex Danuta Dancewicz Stacja Paliw,11,Emilianów,Koźminek,,62-840,yes,,yes,yes,
Nest Sp. Z O.O.,49,Pietrzyków,Koźminek,,62-840,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna Nr 1143,1,Pl. Wolności,Koźminek,,62-840,yes,,yes,,
Prim Spółka Z Ograniczoną Odpowiedzialnośćią,32A,,,LIPKA,62-865,yes,,yes,yes,
Spółdzielnia Kółek Rolniczych W Liskowie,37,Szewczyka,Lisków,,62-850,yes,,yes,yes,
Chenczke Energy Sp.Z O.O. (Part. Bp),8A,Łaszków,Łaszków,,62-814,yes,yes,yes,yes,
Nest Spółka Z Ograniczoną Odpowiedzialnością (Fr. Orlen),64,,,MORAWIN,62-834,yes,yes,yes,yes,
Pphu Rj7 Remigiusz Kaźmierczak (Stacja Franczyzowa Pkn Orlen S.A. Nr 7560),8,Helleny,Opatówek,,62-860,yes,yes,yes,yes,
Blueberryoil Spółka Z Ograniczoną Odpowiedzialnością Spółka Komandytowo-Akcyjna,66B,Łódzka,Opatówek,,62-860,yes,yes,yes,yes,
Chenczke Energy Spółka Z Ograniczoną Odpowiedzialnością,4,Helleny,Opatówek,,62-860,yes,yes,yes,yes,
Stacja Paliw Aso Opatówek,,Tłokinia Kościelna 52,Opatówek,,62-860,yes,,yes,,
Reco Spółka Z Ograniczoną Odpowiedzialnością (Moya),9C,,,PAWŁÓWEK,62-814,yes,yes,yes,yes,
Nest Sp. Z O.O. (Stacja Franczyzowa Pkn Orlen S.A.Nr 7587),,"Petryki 10L, 62-820",Petryki,,62-820,yes,yes,yes,yes,
Plp Spółka Z Ograniczoną Odpowiedzialnością,49,,,PIETRZYKÓW,62-840,yes,yes,yes,yes,
Sis Oil,8,,,SKARSZEW,62-817,,,yes,,
Stacja Paliw,,,,SKARSZEW,62-817,yes,yes,yes,yes,
Urszula Marciniak Sklep Spożywczo-Przemysłowy,7,,,SOBIESĘKI,62-874,yes,,yes,yes,
Chenczke Energy Sp.Z O.O. (Stacja Partnerska Marki Bp),55,Piątek Mały,Stawiszyn,,62-820,yes,yes,yes,yes,
Dystrybucja Produktów Naftowych Eko-Jaz Jan Ziarkowski,,Szosa,Stawiszyn,,62-820,yes,yes,yes,yes,
Mt-Ex- Sp.Z O.O.,,Szosa,Stawiszyn,,62-820,yes,,yes,,
"Hurtownia Olejów I Paliw ""Olkop"" Gabriel Kropkowski",130,,,SZCZYTNIKI,62-865,yes,yes,yes,yes,
Mt-Ex Spółka Z Ograniczoną Odpowiedzialnością,,Zbiersk,Zbiersk Cukrownia,,62-830,yes,,yes,,
"Stacja Paliw Płynnych Ewa Dominiak,",,,,ŻELAZKÓW,62-817,yes,,yes,yes,
Petro-Nom Michał Nogala,122,,,ŻELAZKÓW,62-817,yes,,yes,yes,
Przedsiębiorstwo Handlowe I Auto-Gaz Cierpik Ryszard Stacja Autogazu,,,,BARANÓW,,,,,yes,
Pw Auto-Truck Sp.Z O.O.,,,,BARANÓW,63-604,yes,,yes,,
Auto  - Truck Paliwa Spółka Z Ograniczoną Odpowiedzialnością,1,Cło,Baranów,,63-604,yes,,yes,,
"Przedsiębiorstwo Usługowo Handlowe ""Bis"" Spółka Jawna Józef Szyszka I Jerzy Szyszka",7,Namysłowska,Bralin,,63-640,yes,,yes,,
Polski Koncern Naftowy Orlen Spółka Akcyjna Nr 865,7,Warszawska,Chojęcin-Szum,,63-640,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 4050),20,Kwiatowa,Kępno,,63-600,yes,yes,yes,yes,
Bp Europa Se Spółka Europejska Oddział W Polsce,26,Solidarności,Kępno,,63-600,yes,yes,yes,yes,
Meble Laski Kaczorowski Spółka Komandytowa,21,Kępińska,Laski,,63-620,yes,yes,yes,yes,
"Ryszard Górecki Przedsiębiorstwo Produkcyjno-Hanlowe ""Gortex"" (Part. Circle)",1,Kępińska,Łęka Opatowska,,63-645,yes,,yes,yes,
Przedsiębiorstwo Wielobranżowe Dawid Wolny,9,Nowe Osiedle,Rychtal,,63-630,yes,,yes,,
Pod Borem Stacja Paliw Adam Wierzybok,110,,,RZETNIA,63-600,yes,,yes,yes,
"Przedsiębiorstwo Wielobranżowe  ""Alicja"" Spółka Z Ograniczoną Odpowiedzialnością (Part. Circle)",74B,,,SŁUPIA,63-642,yes,,yes,yes,
"Przedsiębiorstwo Usługowo Handlowe ""Bis"" Spółka Jawna Józef Szyszka I Jerzy Szyszka (Moya)",16,,,TURKOWY BRZEZIE,63-642,yes,yes,yes,yes,
"Aneta Pietrzak, Marcin Pietrzak - Wspólnicy Spółki Cywilnej",103,,,BIERZWIENNA DŁUGA - KOLONIA,62-650,yes,,yes,yes,
Trans-Kol Paliwa Spółka Z Ograniczoną Odpowiedzialnością (Part. Lotos),75,,,CHOJNY,62-600,yes,yes,yes,yes,
Pphu Jolanta Ewa Rucińska,,,,GŁĘBOKIE,62-612,yes,,yes,yes,
Axan Spółka Z Ograniczoną Odpowiedzialnością,5,Autostrada,Grzegorzew,,62-640,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 4075),94,Kardynała Wyszynskiego,Kłodawa,,62-650,yes,yes,yes,yes,
Kopalnia Soli Kłodawa,,,,KŁODAWA,62-650,,,yes,,
P.P.H.U. Jolanta Ewa Rucińska,20,Bierzwieńska,Kłodawa,,62-650,yes,,yes,yes,
Zuh Tarmot Stacja Paliw,53,Wyszyńskiego,Kłodawa,,62-650,,,,yes,
Okręgowa Spółdzielnia Mleczarska W Kole,7,Towarowa,Koło,,62-600,yes,,yes,,
"Włodzimierz Chęciński, Pphu ""Rancho""",40G,Dąbska,Koło,,62-600,yes,,yes,yes,
Przedsiębiorstwo Robót Drogowo-Mostowych S.A,200,Toruńska,Koło,,62-600,yes,,yes,,
Polmax Spółka Akcyjna Spółka Komandytowo-Akcyjna,88,Sienkiewicza,Koło,,62-600,yes,,yes,yes,
Trans-Kol Paliwa Spółka Z Ograniczoną Odpowiedzialnością,186,Toruńska,Koło,,62-600,yes,yes,yes,yes,
Stacja Paliw Osm Koło,7,Składowa,Koło,,62-600,yes,yes,yes,yes,
"Zuh Naftohurt, (Stacja Partnerska Marki Lotos)",239A,Toruńska,Koło,,62-600,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna Nr 4043,32,Sienkiewicza,Koło,,62-600,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 4215),4,Kolska,Kościelec,,62-604,yes,yes,yes,yes,
Lotos Paliwa Spółka Z Ograniczoną Odpowiedzialnością,20,Police Mostowe,Łęka,,62-604,yes,yes,yes,yes,
Trans-Kol Paliwa Spółka Z Ograniczoną Odpowiedzialnością (Fr. Orlen),22,,,NOWINY BRDOWSKI,62-620,yes,yes,yes,yes,
"A.C.T. Produkcja-Handel-Usługi Jan Jaworski, Zbigniew Okulski - Wspólnicy Cpółki Cywilnej",55A,,,OLSZÓWKA,62-641,yes,,yes,yes,
Okręgowa Spółdzielnia Mleczarska W Kole,57,,,OSIEK WIELKI,62-600,yes,,yes,,
Lotos Paliwa Spółka Z Ograniczoną Odpowiedzialnością,,Police Mostowe 20,Police Mostowe,,62-604,yes,yes,yes,yes,
Lotos Paliwa Spółka Z Ograniczoną Odpowiedzialnością,19,,,POLICE MOSTOWE,62-604,yes,yes,yes,yes,
Trans-Kol Paliwa Spółka Z Ograniczoną Odpowiedzialnością (Part. Lotos),,,,RYBNO,62-635,yes,yes,yes,yes,
Jan Ziarkowski Dystrybucja Produktów Naftowych Eko-Jaz,35,Sobótka,Sobótka (Dąbie N/Nerem),,62-660,yes,,yes,yes,
"Zakład Usługowo-Handlowy Naftohurt Spółka Z Ograniczoną Odpowiedzialnością, (Stacja Partnerska Marki Lotos)",15,Sompolinek,Sompolno,,62-610,yes,yes,yes,yes,
"Rozlewnia Gazu Płynnego ""Gosposia Gaz"" Józef Szafrański",129,,,STRASZKÓW,62-604,yes,yes,yes,yes,
Rottom Tomasz Sieradzki,5,Dojazdowa,Brzeźno,,62-512,yes,,yes,yes,
Phu Węglobud,6,Kościelna,Budzisław Kościelny,,62-541,yes,,yes,yes,
Zu-H Naftohurt Sasiński Sompolinek 15 Stacja Lpg,,,,GENOWEFA,62-513,,,,yes,
Lotos Paliwa Spółka Z Ograniczoną Odpowiedzialnością,28A,,,GENOWEFA,62-513,yes,yes,yes,yes,
Lotos Paliwa Spółka Z Ograniczoną Odpowiedzialnością,,,,GENOWEFA,62-513,yes,,yes,yes,
Trans-Kol Paliwa Spółka Z Ograniczoną Odpowiedzialnością (Fr. Orlen),22,,,GENOWEFA,62-513,yes,yes,yes,yes,
Andrzejewscy Zofia I Andrzej  Stacja Lpg,,,,GŁÓWIEW,62-571,,,,yes,
Stacja Paliw,,,,GOLINA,62-590,,,yes,,
Watis Spółka Z Ograniczoną Odpowiedzialnością (Fr. Orlen),79,1-Go Maja,Golina,,62-590,yes,yes,yes,yes,
Watis Polska Spółka Z Ograniczoną Odpowiedzialnością,70,,,GOLINA KOLONIA,62-590,yes,yes,yes,yes,
Eddar Spółka Z Ograniczoną Odpowiedzialnością (Moya),8,Zwierzyniecka,Grodziec,,62-580,yes,,yes,yes,
Put Trans Pak Sp Z O.O.  Stacja Autogazu Lpg Na Terenie Istniejącej Stacji W El. Pątnów,,Kazimierz,Kazimierz Biskupi,,62-530,,,,yes,
Przedsiębiorstwo Handlowo Usługowe Słowiński Henryk (Fr. Orlen),13,Warszawska,Kazimierz Biskupi,,62-530,yes,yes,yes,yes,
Stacja Gazu Płynnego,2A,Św. Barbary,Kleczew,,62-540,,,,yes,
Rozlewnia Gazu ”Andmar” Grodziec,,,,KLECZEW,62-540,,,,yes,
Tank-Rom  Kaźmierowscy Sp.J.,12,Roztoka,Kleczew,,62-540,yes,yes,yes,yes,
Wrc Spółka Z Ograniczoną Odpowiedzialnością (Part. Circle),,,,KRĄGOLA,62-571,yes,yes,yes,yes,
"Tank-Rom Sp. Z O.O. Sp. K., (Stacja Partnerska Marki Lotos)",1Ł,Konińska,Licheń Stary,,62-563,yes,yes,yes,yes,
Paweł Zbierski,3,Wyspiańskiego,Lichnowo,,62-511,,,,yes,
Pak Koplania Węgla Brunatnego Konin Spółka Akcyjna,,Lubstów,Lubstów Odkrywka,,62-610,,,yes,,
Wies-Mar Spółka Z Ograniczoną Odpowiedzialnością,49,Konińska,Modła,,62-586,yes,,yes,yes,
Rogacki Zenon I Anita Stacja Lpg,,Modła,Modła Królewska,,62-571,,,,yes,
Zakład Usługowo-Handlowy Naftohurt Spółka Z Ograniczoną Odpowiedzialnością (Moya),33,Bursztynowa,Modła Królewska,,62-571,yes,,yes,yes,
Pw Stacja Paliw Hurt-Detal Barbara Tylisz,,,,NOĆ,62-619,,,yes,,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 4038),41C,A2 - Osiecza Południowa Mop Iii,Osiecza,,62-586,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna Nr 4037,41B,,,OSIECZA PIERWSZA,62-586,yes,yes,yes,yes,
"Phu ""Transwag"" Czesław Zawrocki, ,",,,,OSTROWĄŻ,62-561,,,yes,,
Tamborscy Felicja I Tadeusz Stacj Lpg,,,,POSOKA,62-571,,,,yes,
Tank-Rom Sp. Z O.O. Sp. K.,12,,,ROZTOKA,62-540,yes,yes,yes,yes,
Wies-Mar Sp.Z O.O. (Stacja Franczyzowa Pkn Orlen S.A. Nr 7026),2A,Grodziecka,Rychwał,,62-570,yes,yes,yes,yes,
"Wawrzyniak Mariola Stacja Lpg, P.U.H. M. Wawrzyniak, Oddział Sławsk 1B",1B,Sławsk,Rzgów,,62-586,,,,yes,
Lenar Company Sp. Z O.O,17,Noć,Sadlno,,62-619,,,yes,,
Eddar Sp. Z O. O.,14,Leśna,Sadlno,,62-619,yes,,yes,yes,
Watis Polska Spółka Z Ograniczoną Odpowiedzialnością,2,Targowa,Skulsk,,62-560,yes,,yes,yes,
Phu Petromot - Tadeusz Dębowski (Stacja Franczyzowa Pkn Orlen 7279),45,Konińska,Skulsk,,62-560,yes,yes,yes,yes,
Andrzej Nagórny,224,,,SŁAWSK,62-585,,,yes,,
Phu Motorol,17,Parkowa,Stare Miasto,,62-571,,,yes,,
Polski Koncern Naftowy Orlen Spółka Akcyjna,66,Rychwalska,Stare Miasto,,62-571,,,yes,,
Circle K Polska Spółka Z Ograniczoną Odpowiedzialnością,31,Ogrodowa,Stare Miasto,,62-571,yes,,yes,,
"Stacja Paliw Phu ""Konex"" Stare Miasto- Modła Kolonia 3D",3D,Modła Kolonia,Stare Miasto,,62-571,,,,yes,
Wulkotech Krzysztof Roszak Stacja Paliw,1,Lisiecka,Stare Miasto,,62-571,yes,yes,yes,yes,
Zygmunt Rachuba - Phu Edar,,,,SZYSZYNEK,62-561,,,,yes,
Piaseccy Marek I Bożena Stacja Lpg,,,,ŚLESIN,62-561,,,,yes,
Stacja Paliw Phu P. Cichy,63,Kościelna,Ślesin,,62-561,,,,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna Nr 4352,31,Kleczewska,Ślesin,,62-561,yes,,yes,yes,
Kon-Conditor Beata Kubacka-Jankowska,107,,,ŚWIĘTE,62-511,yes,,yes,yes,
"Firma ""Mak"" Niedźwiedź Marek",28,,,WIERUSZEW,62-530,,,,yes,
Kon-Conditor Beata Kubacka-Jankowska,40B,,,WIERZBINEK,62-619,yes,,yes,yes,
Trans-Kol-Paliwa Sp. Z O.O.,155B,Wilczygóra,Wilczyn,,62-550,,,yes,,
Watis Polska Spółka Z Ograniczoną Odpowiedzialnością,2,Licheńska,Wola Podłężna,,62-510,yes,yes,yes,yes,
"Rachuba Adrian Phu""Edar""",2A,,,WTÓREK,62-550,yes,,yes,yes,
Przedsiębiorsto Usługowo - Handlowe Sławomir Żabierek,40,Konińska,Żdżary,,62-571,yes,yes,yes,yes,
Fhu H.A. - P.O. Huber Kucharski,,"Żdżary Kolonia 2E, Gm. Stare",Żdżary Kolonia,,62-571,,,,yes,
"Terski Sławomir, Stacja Lpg W Żychlinie",,,,ŻYCHLIN,62-571,,,,yes,
"Mieszalnia Pasz, S.Markowski",,,,BIELEWO,64-010,yes,,yes,,
Stacja Lpg A. Pasternak,19,Kolejowa,Czempiń,,64-020,,,,yes,
Stacja Lpg Petroestry Sp. Z O.O.,32,Kolejowa,Czempiń,,64-020,,,,yes,
Stacja Paliw  Łagropol S.J,38,Kolejowa,Czempiń,,64-020,yes,,yes,,
"Phu Matuz Sp Z O.O.,",10,Kasztanowa,Czempiń,,64-020,yes,yes,yes,yes,
Bolesław Biderman,36,Kościańska,Jerka,,64-006,yes,,yes,,
Utasz-Speed Spółka Z Ograniczoną Odpowiedzialnością,37,Os. Brzozowiec,Jerka,,64-006,yes,,yes,,
Stacja Paliw „Zametex” M. Zamelczyk,41B,,,KAWCZYN,64-000,,,,yes,
Przedsiębiorstwo Wielobranżowe Pieprzyk Sp. Z O.O.,41A,,,KAWCZYN,64-000,yes,yes,yes,yes,
"Shell Polska Sp. Z O.O., Kiełczewo,",99,Poznańska,Kiełczewo,,64-000,yes,,yes,yes,
Handel Paliwami Tirex Mieczysław Maćkowiak,,,,KOSZANOWO,64-030,yes,,yes,,
Phu „Matuz” Sp. Z O.O.,2,Północna,Kościan,,64-000,,,,yes,
Shell Polska Spółka Z Ograniczoną Odpowiedzialnością (Stacja Nr 4302),1,Gostyńska,Kościan,,64-000,yes,,yes,yes,
Spółdzienla Mieszkaniowa Mlekovita,28,Maya,Kościan,,64-000,yes,,yes,,
"Przedsiębiorstwo Wielobranżowe "" Pieprzyk"" Sp. Z O.O.",5,Łąkowa,Kościan,,64-000,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 287),62,Śmigielska,Kościan,,64-000,yes,yes,yes,yes,
Phu Matuz Sp Z O.O.,9,Chłapowskiego,Kościan,,64-000,yes,,yes,,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 4385),56,Północna,Kościan,,64-000,yes,yes,yes,yes,
Lusaka Spółka Z Ograniczoną Odpowiedzialnością (Intermarche),55,Śmigielska,Kościan,,64-100,yes,yes,yes,yes,
Stacja Paliw Markowski St.,22A,Nowy Dwór,Krzywin,,64-010,,,,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 741),90,Kościańska,Krzywiń,,64-010,yes,yes,yes,yes,
Firma Markowski Spółka Z Ograniczoną Odpowiedzialnością Spółka Komandytowa,,,,ŁUSZKOWO,64-006,yes,,yes,,
Stacja Paliw Mieszalnia Pasz S. Markowski,22A,,,NOWY DWÓR,64-010,,,,yes,
Stacja Paliw,5,Dworcowa,Racot,,64-005,,,,yes,
Krzysztof Antczak Zakład Transportowo-Usługowo-Handlowy Spółka Jawna,41A,Długa,Sierakowo,,64-000,yes,yes,yes,yes,
"Halina Antczak, Krzysztof Antczak - Zakład Transportowo-Usługowo-Handlowy",41,Długa,Sierałowo,,64-000,yes,yes,yes,yes,
Gospodarstwo Rolne Waldemar Miładowski,19,Główna,Stare Bojanowo,,64-040,,,,yes,
Gronpal Sp.Z O.O.,2,Przemysłowa,Stare Bojanowo,,64-030,yes,,yes,,
Stacja Paliw,5,Koszarowo,Śmigiel,,64-010,,,,yes,
Stacja Paliw,41,Kilińskiego,Śmigiel,,64-010,yes,yes,yes,,
Krzysztof Antczak Zakład Transportowo-Usługowo-Handlowy Spółka Jawna,71,Kilińskiego,Śmigiel,,64-030,yes,yes,yes,yes,
Firma Usługowo-Handlowa -Monika Antkowiak,14,Powstańców Wielkopolskich,Kobylin,,63-740,,,,yes,
"Przedsieborstwo ""Ochman"" Adam Ochman",2A,Strzelecka,Kobylin,,63-740,yes,,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 737),14,,,KOBYLIN STARY,63-740,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 783),13,Krotoszyńska,Koźmin,,63-720,yes,,yes,,
"Spółdzielcze Centrum Rolnicze ""Centrol"" W Koźminie Wielkopolskim",58,Borecka,Koźmin Wielkopolski,,63-720,yes,,yes,yes,
"Przedsiębiorstwo Handlowo-Usługowe ""Petrol"" Spółka Z Ograniczoną Odpowiedzialnością",160,Zdunowska,Krotoszyn,,63-700,yes,yes,yes,yes,
Krotgaz Rozlewnia Gazu Krotoszyn,2,Sadowa,Krotoszyn,,63-700,,,,yes,
"Przedsiębiorstwo Wielobranżowe  ""Alicja"" Spółka Z Ograniczoną Odpowiedzialnością",7,Zamkowy Folwark,Krotoszyn,,63-700,yes,,yes,yes,
"Przedsiębiorstwo Wielobranżowe  ""Alicja"" Spółka Z Ograniczoną Odpowiedzialnością",140,Ostrowska,Krotoszyn,,63-700,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 302),,,,KROTOSZYN,63-700,yes,,yes,yes,
Circle K Polska Spółka Z Ograniczoną Odpowiedzialnością,60,Koźmińska,Krotoszyn,,63-700,yes,,yes,yes,
Watis Polska Spółka Z Ograniczoną Odpowiedzialnością,12,56-Go Pułku Piechoty Wielkopolskiej,Krotoszyn,,63-700,yes,yes,yes,yes,
Transpetrol-Bis Spółka Z Ograniczoną Odpowiedzialnością (Fr. Orlen),124,Koźmińska,Krotoszyn,,63-700,yes,yes,yes,yes,
Mesyna Spółka Z Ograniczoną Odpowiedzialnością (Intermarche),22B,Raszkowska,Krotoszyn,,63-700,yes,,yes,yes,
"Przedsieborstwo ""Ochman"" Adam Ochman",25,Benicka,Krotoszyn,,63-700,yes,yes,yes,yes,
Womar Mariola Wojtkowiak (Moya),52,,,KUKLINÓW,63-740,yes,yes,yes,yes,
"Przedsiębiorstwo Handlowo-Usługowe ""Petrol"" Spółka Z Ograniczoną Odpowiedzialnością",75A,,,NOWA OBRA,63-720,yes,yes,yes,yes,
Spółdzielczy Zakłąd Usługowo-Handlowy Kółek Rolniczych Orpiszew,32,Koźmińska,Orpiszew,,63-714,,,yes,,
Spółdzielnia Kółek Rolniczych W Rozdrażewie,19,Kożmińska,Rozdrażew,,63-708,yes,,yes,yes,
Transpetrol - Bis Sp.Z O.O.,4,Pielarska,Salnia (Krotoszyn),,63-700,yes,,yes,yes,
Transpetrol-Bis Spółka Z Ograniczoną Odpowiedzialnością,4,Piekarska,Salnia Gm. Krotoszyn,,63-700,yes,,yes,,
