LP.;RODZAJ PODMIOTU;NAZWA;ADRES;MIEJSCOWOŚĆ;KOD POCZTOWY;WOJEWÓDZTWO;POWIAT;RON95;RON98;ON;BIOES;B20;E10;BIO2;BIO3;BIO4;LPG;CNG
102;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA (STACJA NR 1092);WOJSKA POLSKIEGO 24A;MYSŁAKOWICE;58-533;DOLNOŚLĄSKIE;JELENIOGÓRSKI;X;X;X;;;;;;;X;
103;STACJA PALIW;STACJA AUTO-GAZU;TURYSTYCZNA 5A;PIECHOWICE;58-573;DOLNOŚLĄSKIE;JELENIOGÓRSKI;;;;;;;;;;X;
104;STACJA PALIW;P.H.U. "MÜLLER", B.H.R. MÜLLER, U. JAROSZ, SP. JAWNA;JELENIOGÓRSKA 2D;PIECHOWICE;58-573;DOLNOŚLĄSKIE;JELENIOGÓRSKI;X;X;X;;;;;;;X;
105;STACJA PALIW;SPÓŁDZIELNIA STW W BOLESŁAWCU (PART. CIRCLE);NOWA 7;PODGÓRZYN;58-562;DOLNOŚLĄSKIE;JELENIOGÓRSKI;X;;X;;;;;;;X;
106;STACJA PALIW;P.H.U. "MULLER" B.H.R. MULLER, U. JAROSZ SPÓŁKA JAWNA;RADOMIERZ 1G;RADOMIERZ;58-520;DOLNOŚLĄSKIE;JELENIOGÓRSKI;X;X;X;;;;;;;;
107;STACJA PALIW;P.H.U. "MULLER" B.H.R. MULLER, U. JAROSZ SPÓŁKA JAWNA;RADOMIERZ 1F;RADOMIERZ;58-520;DOLNOŚLĄSKIE;JELENIOGÓRSKI;X;X;X;;;;;;;X;
108;STACJA PALIW;"PIEPRZYK FAMILY" SPÓŁKA Z OGRANICZONĄ  ODPOWIEDZIALNOŚCIĄ;LWÓWECKA 2;SIEDLECIN;58-508;DOLNOŚLĄSKIE;JELENIOGÓRSKI;X;;X;;;;;;;X;
109;STACJA PALIW;GMINNA SPÓŁDZIELNIA "SAMOPOMOC CHŁOPSKA" W STAREJ KAMIENNICY;STARA KAMIENICA 50;STARA KAMIENICA;58-512;DOLNOŚLĄSKIE;JELENIOGÓRSKI;X;;X;;;;;;;X;
110;STACJA PALIW;CETON - STACJA DYSTRYBUCJI GAZU;SZOSA CZESKA    5B;SZKLARSKA PORĘBA;58-580;DOLNOŚLĄSKIE;JELENIOGÓRSKI;;;;;;;;;;X;
111;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA NR 130;1-GO MAJA 3A;SZKLARSKA PORĘBA;58-580;DOLNOŚLĄSKIE;JELENIOGÓRSKI;X;X;X;;;;;;;;
112;STACJA PALIW;SOMBIN STANISŁAW TYRAŁA SPÓŁKA JAWNA;WOJSKA POLSKIEGO 11;WLEŃ;59-810;DOLNOŚLĄSKIE;JELENIOGÓRSKI;X;;X;;;;;;;X;
113;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA (STACJA NR 335);BOH. GETTA 48;KAMIENNA GÓRA;58-400;DOLNOŚLĄSKIE;KAMIENNOGÓRSKI;X;X;X;;;;;;;X;
114;STACJA PALIW;PRZEDSIĘBIORSTWO KOMUNIKACJI SAMOCHODOWEJ SP. Z O.O.;TOWAROWA 43;KAMIENNA GÓRA;58-400;DOLNOŚLĄSKIE;KAMIENNOGÓRSKI;X;;X;;;;;;;;
115;STACJA PALIW;FAŁ SP.Z O.O. (INTERMARCHE);SPACEROWA 1A;KAMIENNA GÓRA;58-400;DOLNOŚLĄSKIE;KAMIENNOGÓRSKI;X;X;X;;;;;;;X;
116;STACJA PALIW;P.H.U. "MULLER" B.H.R. MULLER, U. JAROSZ SPÓŁKA JAWNA;WILLMANNA 12;KRZESZÓW;58-405;DOLNOŚLĄSKIE;KAMIENNOGÓRSKI;X;X;X;;;;;;;X;
117;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA (STACJA NR 1109);KAMIENNOGÓRSKA 29;LUBAWKA;58-420;DOLNOŚLĄSKIE;KAMIENNOGÓRSKI;X;;X;;;;;;;;
118;STACJA PALIW;SPÓŁDZIELNIA KÓŁEK ROLNICZYCH;SUDECKA 13;LUBAWKA;58-420;DOLNOŚLĄSKIE;KAMIENNOGÓRSKI;X;X;X;;;;;;;;
119;STACJA PALIW;PRZEDSIĘBIORSTWO WIELOBRANŻOWE  "PIEPRZYK" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;PTASZKÓW-BORÓWNO 58;PTASZKÓW-BORÓWNO;58-400;DOLNOŚLĄSKIE;KAMIENNOGÓRSKI;X;;X;;;;;;;X;
120;STACJA PALIW;ZAKŁAD USŁUG LEŚNYCH W BYSTRZYCY KŁODZKIEJ;NADBRZEŻNA 11;BYSTRZYCA KŁODZKA;57-500;DOLNOŚLĄSKIE;KŁODZKI;;;X;;;;;;;;
121;STACJA PALIW;TOMALA SPÓŁKA KOMANDYTOWO-AKCYJNA;KŁODZKA 10;BYSTRZYCA KŁODZKA;57-500;DOLNOŚLĄSKIE;KŁODZKI;X;;X;;;;;;;X;
122;STACJA PALIW;PRZEDSIĘBIORSTWO WIELOBRANŻOWE  "ALICJA" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;SUDECKA 29;DUSZNIKI ZDRÓJ;57-340;DOLNOŚLĄSKIE;KŁODZKI;X;;X;;;;;;;X;
123;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA NR 124;SUDECKA 14A;DUSZNIKI ZDRÓJ;57-340;DOLNOŚLĄSKIE;KŁODZKI;X;X;X;;;;;;;X;
124;STACJA PALIW;M.G.Ł.A -  MIECZYSŁAW KRET;JASZKOWA DOLNA 1A;JASZKOWA DOLNA;57-312;DOLNOŚLĄSKIE;KŁODZKI;X;;X;;;;;;;X;
125;STACJA PALIW;BP EUROPA SE SPÓŁKA EUROPEJSKA ODDZIAŁ W POLSCE;DUSZNICKA 14;KŁODZKO;57-300;DOLNOŚLĄSKIE;KŁODZKI;X;X;X;;;;;;;X;
126;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA NR 110;MONIUSZKI 4;KŁODZKO;57-300;DOLNOŚLĄSKIE;KŁODZKI;X;;X;;;;;;;;
127;STACJA PALIW;KŁODZKODIS SP.Z O.O. (E-LECLERC);DUSZNICKA 1A;KŁODZKO;57-300;DOLNOŚLĄSKIE;KŁODZKI;X;X;X;;;;;;;X;
128;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA (STACJA NR 112);BOGUSZYN 2;KŁODZKO (BOGUSZYN);57-300;DOLNOŚLĄSKIE;KŁODZKI;X;X;X;;;;;;;X;
129;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA (STACJA NR 126);ZDROJOWA 28;KUDOWA ZDRÓJ;57-350;DOLNOŚLĄSKIE;KŁODZKI;X;;X;;;;;;;;
130;STACJA PALIW;CIRCLE K POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;SŁONE 131A;KUDOWA ZDRÓJ;57-350;DOLNOŚLĄSKIE;KŁODZKI;X;;X;;;;;;;X;
131;STACJA PALIW;SHELL POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (STACJA NR 6005);GŁÓWNA 42 A;KUDOWA ZDRÓJ;57-350;DOLNOŚLĄSKIE;KŁODZKI;X;X;X;;;;;;;X;
132;STACJA PALIW;ALEKSANDER ROJEK PPHU-M ROYAL;FABRYCZNA 12;KUDOWA ZDRÓJ;57-350;DOLNOŚLĄSKIE;KŁODZKI;X;;X;;;;;;;;
133;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA NR 734;SŁONE 133;KUDOWA ZDRÓJ;57-350;DOLNOŚLĄSKIE;KŁODZKI;X;X;X;;;;;;;X;
134;STACJA PALIW;SHELL POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;SŁONE 133A;KUDOWA ZDRÓJ;57-350;DOLNOŚLĄSKIE;KŁODZKI;X;;X;;;;;;;;
135;STACJA PALIW;SOLEY ARECA SP.Z O.O. SP. KOMANDYTOWA (PART. BP);GŁÓWNA 72;KUDOWA-ZDRÓJ;57-350;DOLNOŚLĄSKIE;KŁODZKI;X;X;X;;;;;;;X;
136;STACJA PALIW;ORLEN SPÓŁKA AKCYJNA NR 265;KŁODZKA 54;LĄDEK-ZDRÓJ;57-540;DOLNOŚLĄSKIE;KŁODZKI;X;X;X;;;;;;;X;
137;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA NR 1522;WARSZAWSKA 17;MIĘDZYLESIE;57-530;DOLNOŚLĄSKIE;KŁODZKI;X;X;X;;;;;;;X;
138;STACJA PALIW;ORLEN SPÓŁKA AKCYJNA NR 240;NIEPODLEGŁOŚCI 45A;NOWA RUDA;57-400;DOLNOŚLĄSKIE;KŁODZKI;X;X;X;;;;;;;X;
139;STACJA PALIW;PRZEDSIĘBIORSTWO WIELOBRANŻOWE "PIEPRZYK" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;ŚWIDNICKA 23;NOWA RUDA;57-400;DOLNOŚLĄSKIE;KŁODZKI;X;X;X;;;;;;;X;
140;STACJA PALIW;"ORKAN" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (INTERMARCHE);KŁODZKA 14A;NOWA RUDA;57-402;DOLNOŚLĄSKIE;KŁODZKI;X;X;X;;;;;;;X;
141;STACJA PALIW;PRZEDSIĘBIERSTWO HANDLOWO - USŁUGOWE P.H.U. "KOL - BENZ" KAZIMIERZ KOLEŚNIK;SŁUPIECKA 9B;NOWA RUDA;57-402;DOLNOŚLĄSKIE;KŁODZKI;X;;X;;;;;;;X;
142;STACJA PALIW;LOTOS PALIWA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;NIEPODLEGŁOŚCI58A;NOWA RUDA;57-400;DOLNOŚLĄSKIE;KŁODZKI;X;;X;;;;;;;X;
143;STACJA PALIW;KRYSTYNA PIJAROWSKA DANUTA KRAUS - WSPÓLNICY SPÓŁKI CYWILNEJ;KŁODZKA 46;NOWA RUDA;57-400;DOLNOŚLĄSKIE;KŁODZKI;X;;X;;;;;;;X;
144;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA (STACJA NR 4160);KŁODZKA 5;POLANICA-ZDRÓJ;57-320;DOLNOŚLĄSKIE;KŁODZKI;X;X;X;;;;;;;X;
145;STACJA PALIW;AGRO-POL PRZEDSIĘBIORSTOW ROLNE WŁADYSŁAW BARTOSIK (STACJA PARTNERSKA MARKI LOTOS);RATNO DOLNE 31A;RATNO DOLNE;57-420;DOLNOŚLĄSKIE;KŁODZKI;X;X;X;;;;;;;X;
146;STACJA PALIW;MACIEJ SŁOMIŃSKI "SŁOMGUM" - SERWIS OGUMIENIA MACIEJ SŁOMIŃSKI;SMRECZYNA 5;SMRECZYNA;57-530;DOLNOŚLĄSKIE;KŁODZKI;X;;X;;;;;;;X;
147;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA NR 304;KŁODZKA 46A;STARY WALISZÓW;57-500;DOLNOŚLĄSKIE;KŁODZKI;X;X;X;;;;;;;X;
148;STACJA PALIW;STACAJ PALIW STRACHOCIN ALEKSANDRA LISIEWICZ;POLNA 13A;STRONIE ŚLĄSKIE;57-550;DOLNOŚLĄSKIE;KŁODZKI;X;;X;;;;;;;X;
149;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA NR 752;SZALEJÓW DOLNY 121;SZALEJÓW DOLNY;57-314;DOLNOŚLĄSKIE;KŁODZKI;X;X;X;;;;;;;X;
150;STACJA PALIW;KRUPNIK-TANK SP.Z O.O.;ROBOTNICZA 13;SZCZYTNA;57-330;DOLNOŚLĄSKIE;KŁODZKI;X;;X;;;;;;;;
151;STACJA PALIW;SPÓŁDZIELNIA USŁUGOWO-HANDLOWA W ŚCINAWCE ŚREDNIEJ;3-GO MAJA 8A;ŚCINAWKA ŚREDNIA;57-410;DOLNOŚLĄSKIE;KŁODZKI;X;;X;;;;;;;X;
152;STACJA PALIW;JACKPOL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;DZIAŁKA NR 438/266;WOLANY;57-320;DOLNOŚLĄSKIE;KŁODZKI;X;;X;;;;;;;;
153;STACJA PALIW;PRZEDSIĘBIORSTWO OBROTU PALIW NAFTO-TRANS SP.Z O.O.;LUBIŃSKA 5;CHOJNÓW;59-225;DOLNOŚLĄSKIE;LEGNICKI;X;;X;;;;;;;X;
154;STACJA PALIW;LOTOS PALIWA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;LEGNICKA 70;CHOJNÓW;59-225;DOLNOŚLĄSKIE;LEGNICKI;X;X;X;;;;;;;X;
155;STACJA PALIW;STACJA PALIW CHOJNÓWKA SP.Z O.O.;FABRYCZNA 1;CHOJNÓW;59-225;DOLNOŚLĄSKIE;LEGNICKI;X;;X;;;;;;;X;
156;STACJA PALIW;BEN-GAZ STACJA LPG;TRASA LEGNICA-KRZYWA;DOBROSZÓW;59-222;DOLNOŚLĄSKIE;LEGNICKI;;;;;;;;;;X;
157;STACJA PALIW;ZORAL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;GOŁACZÓW 31;GOŁACZÓW;59-225;DOLNOŚLĄSKIE;LEGNICKI;X;;X;;;;;;;X;
158;STACJA PALIW;PRZEDSIĘBIORSTWO WIELOBRANŻOWE  "PIEPRZYK" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;KAWICE 88;KAWICE;59-230;DOLNOŚLĄSKIE;LEGNICKI;X;X;X;;;;;;;X;
159;STACJA PALIW;STACJA PALIW KMK STANISŁAW KAŚKÓW, MICHAŁ KOREŃ, MIROSŁAW MAJ SP.J.;KAWICE;KAWICE;59-230;DOLNOŚLĄSKIE;LEGNICKI;X;X;X;;;;;;;;
160;STACJA PALIW;P.H.U. "BULIS" S.C. BULSKI STANISŁAW BULSKA BARBARA BULSKI JAROSŁAW;KOSKOWICE NR 72;KOSKOWICE;59-241;DOLNOŚLĄSKIE;LEGNICKI;X;X;X;;;;;;;;
161;STACJA PALIW;EKONAFT - BOLESŁAWIEC SP. Z O. O. (STACJA FRANCZYZOWA PKN ORLEN S.A. NR 7462);WILCZYCE 55;KROTOSZYCE;59-223;DOLNOŚLĄSKIE;LEGNICKI;X;X;X;;;;;;;X;
162;STACJA PALIW;STACJA PALIW;WANDY;LEGNICA;59-230;DOLNOŚLĄSKIE;LEGNICKI;;;;;;;;;;X;
163;STACJA PALIW;"ELBA" SP. JAWNA - T. LUSZNIEWSKI, M. WOLSKI;ZŁOTA;LEGNICA;59-220;DOLNOŚLĄSKIE;LEGNICKI;X;;X;;;;;;;X;
164;STACJA PALIW;STACJA PALIW BIURO USŁUG TURYSTYCZNYCH AGA-TUR;NOWODWORSKA;LEGNICA;59-220;DOLNOŚLĄSKIE;LEGNICKI;X;X;X;;;;;;;X;
165;STACJA PALIW;"DEXPOL" S.A. PRZEDSIĘBIORSTWO PRODUKCYJNO-HANDLOWE STACJA PALIW "DEX" NR 4;;NOWA WIEŚ LEGNICKA;59-217;DOLNOŚLĄSKIE;LEGNICKI;X;;X;;;;;;;;
166;STACJA PALIW;"SOLEY - ARECA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ" SPÓŁKA KOMANDYTOWA  (STACJA FRANCZYZOWA PKN ORLEN S.A. NR 7552);NOWA WIEŚ LEGNICKA 44A;NOWA WIEŚ LEGNICKA;59-241;DOLNOŚLĄSKIE;LEGNICKI;X;X;X;;;;;;;X;
167;STACJA PALIW;SHELL POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (STACJA NR 5109);NOWA WIEŚ LEGNICKA 64;NOWA WIEŚ LEGNICKA;59-222;DOLNOŚLĄSKIE;LEGNICKI;X;;X;;;;;;;X;
168;STACJA PALIW;"ATUT" PRZEDSIĘBIORSTWO WIELOBRANŻOWE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (PART. BP);SZWEDZKA 1B;OKMIANY (CHOJNÓW);59-225;DOLNOŚLĄSKIE;LEGNICKI;X;X;X;;;;;;;X;
169;STACJA PALIW;CIRCLE K POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;WROCŁAWSKA 95;PROCHOWICE;59-230;DOLNOŚLĄSKIE;LEGNICKI;X;;X;;;;;;;X;
170;STACJA PALIW;PRZEDSIĘBIORSTWO WIELOBRANŻOWE  PIEPRZYK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;LEGNICKA 5;SPALONA;59-216;DOLNOŚLĄSKIE;LEGNICKI;X;;X;;;;;;;X;
171;STACJA PALIW;STACJA LPG;ZIEMNICE-GRZYBIANY 14;ZIEMNICE-GRZYBIANY;59-216;DOLNOŚLĄSKIE;LEGNICKI;;;;;;;;;;X;
172;STACJA PALIW;SPÓŁDZIELNIA STW W BOLESŁAWCU - MARKA CIRCLE K POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;BAWOROWO 51A;BAWOROWO;59-820;DOLNOŚLĄSKIE;LUBAŃSKI;X;X;X;;;;;;;X;
173;STACJA PALIW;STACJA PALIW LPG „PREEM” SPÓŁDZIELNIA STW W BOLESŁAWCU;KOPERNIKA  30;LUBAŃ;59-800;DOLNOŚLĄSKIE;LUBAŃSKI;X;;X;;;;;;;X;
174;STACJA PALIW;FIRMA HANDLOWO USŁUGOWA ISKIERKA BOREK SPÓŁKA JAWNA (STACJA SHELL POLSKA SP. Z O.O. NR 8536);RYBACKA 21;LUBAŃ;59-800;DOLNOŚLĄSKIE;LUBAŃSKI;X;;X;;;;;;;X;
175;STACJA PALIW;FPHU "DARKON" MAŁGORZATA GONCZOWSKA;PAPIEŻA JANA PAWŁA II 3;LUBAŃ;59-800;DOLNOŚLĄSKIE;LUBAŃSKI;X;;X;;;;;;;X;
176;STACJA PALIW;FIRMA ELENA MARIANNA PAPANAUM (STACJA FRANCZYZOWA PKN ORLEN S.A. NR 7061);CMENTARNA 5;LUBAŃ;59-800;DOLNOŚLĄSKIE;LUBAŃSKI;X;X;X;;;;;;;X;
177;STACJA PALIW;WATIS POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;JELENIOGÓRSKA 14;LUBAŃ;59-800;DOLNOŚLĄSKIE;LUBAŃSKI;X;X;X;;;;;;;X;
178;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA (STACJA NR 4194);RYBACKA 32;LUBAŃ;59-800;DOLNOŚLĄSKIE;LUBAŃSKI;X;X;X;;;;;;;X;
179;STACJA PALIW;PRZEDSIĘBIORSTWO WIELOBRANŻOWE  "PIEPRZYK" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;NOWA KARCZMA 23;NOWA KARCZMA;59-818;DOLNOŚLĄSKIE;LUBAŃSKI;X;;X;;;;;;;X;
180;STACJA PALIW;LPG W OLSZYNIE D.CHOŁOD;WOLNOŚCI   93;OLSZYNA;59-830;DOLNOŚLĄSKIE;LUBAŃSKI;;;;;;;;;;X;
181;STACJA PALIW;LPG KOCH-GAZ;3-GO MAJA       16;OLSZYNA;59-830;DOLNOŚLĄSKIE;LUBAŃSKI;;;;;;;;;;X;
182;STACJA PALIW;"MARGO" - MARZENA GRODZKA;;PLATERÓWKA;59-816;DOLNOŚLĄSKIE;LUBAŃSKI;X;;X;;;;;;;;
183;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA (STACJA NR 732);JAŁOWIEC 49A;ŚWIDNICA;59-800;DOLNOŚLĄSKIE;LUBAŃSKI;X;X;X;;;;;;;X;
184;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA NR 318;11-GO LISTOPADA 8;ŚWIERADÓW-ZDRÓJ;59-640;DOLNOŚLĄSKIE;LUBAŃSKI;X;X;X;;;;;;;X;
185;STACJA PALIW;STACJA PALIW;PARKOWA;CHOBIENIA;59-305;DOLNOŚLĄSKIE;LUBIŃSKI;;;X;;;;;;;;
186;STACJA PALIW;FIRMA HANDLOWO-USŁUGOWA "PIOTR" PIOTR NICIEJEWSKI  (PART. BP);LEGNICKA 78;LUBIN;59-300;DOLNOŚLĄSKIE;LUBIŃSKI;X;X;X;;;;;;;X;
187;STACJA PALIW;PW PIEPRZYK SP.Z O.O;SKŁODOWSKIEJ-CURIE 172;LUBIN;59-300;DOLNOŚLĄSKIE;LUBIŃSKI;X;X;X;;;;;;;X;
188;STACJA PALIW;CIRCLE K POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;PIŁSUDSKIEGO 1;LUBIN;59-300;DOLNOŚLĄSKIE;LUBIŃSKI;X;X;X;;;;;;;X;
189;STACJA PALIW;"LOTOS PALIWA" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;KONSTYTUCJI 3-GO MAJA 1;LUBIN;59-300;DOLNOŚLĄSKIE;LUBIŃSKI;X;X;X;;;;;;;X;
190;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA NR 1208;ZIELONOGÓRSKA 2;LUBIN;59-300;DOLNOŚLĄSKIE;LUBIŃSKI;X;X;X;;;;;;;X;
191;STACJA PALIW;BP EUROPA SE SPÓŁKA EUROPEJSKA ODDZIAŁ W POLSCE;JANA PAWŁA II 5;LUBIN;59-300;DOLNOŚLĄSKIE;LUBIŃSKI;X;X;X;;;;;;;X;
192;STACJA PALIW;SHELL POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;PADEREWSKIEGO 88;LUBIN;59-300;DOLNOŚLĄSKIE;LUBIŃSKI;X;X;X;;;;;;;X;
193;STACJA PALIW;ANWIM SPÓŁKA AKCYJNA (MOYA);PADEREWSKIEGO 101A;LUBIN;59-300;DOLNOŚLĄSKIE;LUBIŃSKI;X;;X;;;;;;;X;
194;STACJA PALIW;PRZEDSIĘBIORSTWO HANDLOWO-USŁUGOWE "6,60 EKOSTYL" - ANDRZEJ CHATAŁA;RZEŹNICZA 1;LUBIN;59-300;DOLNOŚLĄSKIE;LUBIŃSKI;X;;X;;;;;;;;
195;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA NR 4073;LEŚNA 2;LUBIN;59-300;DOLNOŚLĄSKIE;LUBIŃSKI;X;X;X;;;;;;;X;
196;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA NR 4102;HUTNICZA 12;LUBIN;59-300;DOLNOŚLĄSKIE;LUBIŃSKI;X;;X;;;;;;;X;
197;STACJA PALIW;SHELL POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (STACJA NR 7502);HUTNICZA 8;LUBIN;59-300;DOLNOŚLĄSKIE;LUBIŃSKI;X;;X;;;;;;;;
198;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA NR 981;ZIELONOGÓRSKA 3;LUBIN;59-300;DOLNOŚLĄSKIE;LUBIŃSKI;X;X;X;;;;;;;X;
199;STACJA PALIW;STACJA PALIW QUICK MOBILE S.A.;MIŁOSNA;MIŁOSNA;67-200;DOLNOŚLĄSKIE;LUBIŃSKI;;;;;;;;;;X;
200;STACJA PALIW;"PIEPRZYK FAMILY" SPÓŁKA Z OGRANICONĄ ODPOWIEDZIALNOŚCIĄ;MIŁOSNA DK 36;MIŁOSNA;59-323;DOLNOŚLĄSKIE;LUBIŃSKI;X;X;X;;;;;;;X;
201;STACJA PALIW;"PIEPRZYK FAMILY" SPÓŁKA Z OGRANICONĄ ODPOWIEDZIALNOŚCIĄ;WITOSA 5;RUDNA;59-305;DOLNOŚLĄSKIE;LUBIŃSKI;X;;X;;;;;;;X;
202;STACJA PALIW;STACJA PALIW KMK STANISŁAW KAŚKÓW, MICHAŁ KOREŃ, MIROSŁAW MAJ SP.J.;WITOSA 10;ŚCINAWA;59-330;DOLNOŚLĄSKIE;LUBIŃSKI;;;;;;;;;;X;
203;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA NR 1098;WOŁOWSKA 14;ŚCINAWA;56-330;DOLNOŚLĄSKIE;LUBIŃSKI;X;;X;;;;;;;;
204;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA NR 880;LWÓWECKA 3;GRYFÓW ŚLĄSKI;59-620;DOLNOŚLĄSKIE;LWÓWECKI;X;X;X;;;;;;;X;
205;STACJA PALIW;SPÓŁDZIELNIA STW W BOLESŁAWCU (PART. CIRCLE);JELENIOGÓRSKA 7E;GRYFÓW ŚLĄSKI;59-620;DOLNOŚLĄSKIE;LWÓWECKI;X;X;X;;;;;;;X;
206;STACJA PALIW;GMINNA SPÓŁDZIENIA SAMOPOMOC CHŁOPSKA W STAREJ KAMIENNEJ;MAJOWA  29D;LUBOMIERZ;59-625;DOLNOŚLĄSKIE;LWÓWECKI;X;;X;;;;;;;;
207;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA (STACJA NR 280);JAŚKIEWICZA 13;LWÓWEK ŚLĄSKI;59-600;DOLNOŚLĄSKIE;LWÓWECKI;X;X;X;;;;;;;;
208;STACJA PALIW;WATIS POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;PRZYJACIÓŁ ŻOŁNIERZA;LWÓWEK ŚLĄSKI;59-600;DOLNOŚLĄSKIE;LWÓWECKI;X;X;X;;;;;;;;
209;STACJA PALIW;SPÓŁDZIELNIA STW W BOLESŁAWCU (PART. CIRCLE);RAKOWICE WIELKIE 1D;LWÓWEK ŚLĄSKI;59-600;DOLNOŚLĄSKIE;LWÓWECKI;X;;X;;;;;;;X;
210;STACJA PALIW;GMINNA SPÓŁDZIELNIA "SAMOPOMOC CHŁOPSKA" W STAREJ KAMIENICY;SPACEROWA 7;MIRSK;59-630;DOLNOŚLĄSKIE;LWÓWECKI;X;;X;;;;;;;;
211;STACJA PALIW;SPÓŁDZIELNIA STW W BOLESŁAWCU - MARKA CIRCLE K POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;WOJSKA POLSKIEGO 1A;MIRSK;59-630;DOLNOŚLĄSKIE;LWÓWECKI;X;X;X;;;;;;;X;
212;STACJA PALIW;PRZEDSIĘBIORSTWO HANDLOWO - USŁUGOWE "ART-ZBYT" SP. JAWNA - ANDRZEJ WOJTYCZKA, BOGDAN MICHALAK (PART. LOTOS);KOLEJOWA 20;KROŚNICE;56-320;DOLNOŚLĄSKIE;MILICKI;X;X;X;;;;;;;X;
213;STACJA PALIW;WPPHU IMPORT - EKSPORT - PALETY S.C. K.PADEWSKA, J.PADEWSKI;MIODOWA 4;MILICZ;56-300;DOLNOŚLĄSKIE;MILICKI;;;;;;;;;;X;
