LP.;RODZAJ PODMIOTU;NAZWA;ADRES;MIEJSCOWOŚĆ;KOD POCZTOWY;WOJEWÓDZTWO;POWIAT;RON95;RON98;ON;BIOES;B20;E10;BIO2;BIO3;BIO4;LPG;CNG
92;STACJA PALIW;PS 369 SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA;MIERCZYCE 2;WĄDROŻE WIELKIE;59-430;DOLNOŚLĄSKIE;JAWORSKI;X;;X;;;;;;;X;
93;STACJA PALIW;P.H.U. "MÜLLER", B.H.R. MÜLLER, U. JAROSZ, SP. JAWNA;5;JAKUSZYCE;58-580;DOLNOŚLĄSKIE;JELENIOGÓRSKI;X;X;X;;;;;;;X;
94;STACJA PALIW;P.H.U. "MÜLLER", B.H.R. MÜLLER, U. JAROSZ, SP. JAWNA;WOLNOŚCI 66;JELENIA GÓRA;58-500;DOLNOŚLĄSKIE;JELENIOGÓRSKI;X;X;X;;;;;;;;
95;STACJA PALIW;BP EUROPA SE SPÓŁKA EUROPEJSKA ODDZIAŁ W POLSCE;JANA PAWŁA II 4;JELENIA GÓRA;58-500;DOLNOŚLĄSKIE;JELENIOGÓRSKI;X;X;X;;;;;;;X;
96;STACJA PALIW;SHELL POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;JANA PAWAŁA II 47;JELENIA GÓRA;58-506;DOLNOŚLĄSKIE;JELENIOGÓRSKI;X;X;X;;;;;;;X;
97;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA NR 37;KONSTYTUCJI 3-GO MAJA 86;KARPACZ;58-540;DOLNOŚLĄSKIE;JELENIOGÓRSKI;X;X;X;;;;;;;;
98;STACJA PALIW;STACJA LPG;ŁOMNICKA   5;KOWARY;58-530;DOLNOŚLĄSKIE;JELENIOGÓRSKI;;;;;;;;;;X;
99;STACJA PALIW;SPÓŁDZIELNIA STW W BOLESŁAWCU - MARKA CIRCLE K POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;REJTANA 3 A;KOWARY;58-530;DOLNOŚLĄSKIE;JELENIOGÓRSKI;X;X;X;;;;;;;X;
100;STACJA PALIW;P.H.U. "MULLER" B.H.R. MULLER, U. JAROSZ SPÓŁKA JAWNA;KAMIENNOGÓRSKA 2;KOWARY;58-530;DOLNOŚLĄSKIE;JELENIOGÓRSKI;X;X;X;;;;;;;X;
101;STACJA PALIW;"PROINCOM" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (PART. BP);WIDOKOWA 1;ŁOMNICA;58-508;DOLNOŚLĄSKIE;JELENIOGÓRSKI;X;X;X;;;;;;;X;
