Latitude          , Longitude         , NAME
50.030714180320494, 20.221759071573615, Niepołomice Bocheńska Apteka
50.02919294964795 , 20.23231691090636 , Niepołomice Droga Królewska
50.03555729693232 , 20.27322179494818 , Niepołomice Sitowiec
50.04895071989966 , 20.266079303657797, Wola Batorska BTH
50.05277141723395 , 20.2656093507086  , Wola Batorska Żwirownia
50.053117685525976, 20.25754529234615 , Wola Batorska Ruskie
50.05929358747655 , 20.25679975077042 , Wola Batorska Kępa
50.06802913306159 , 20.261170105935115, Wola Batorska Tarnówka
50.066375097849345, 20.272501147069338, Wola Batorska Wychylówka
50.06477021602519 , 20.279122302058358, Wola Batorska Dąbrówka
50.06735719318493 , 20.289129339680716, Wola Batorska Mleczarnia
50.065756715110254, 20.2950764606599  , Wola Batorska Staw
50.06298034997413 , 20.299433578344495, Wola Batorska Zamoglice
50.05759501534195 , 20.298285372535123, Wola Batorska Mikoniowiec
50.05286391574266 , 20.2949691086766  , Wola Batorska Borek
50.04694586162167 , 20.306558599426868, Wola Batorska Borek Południe
50.046175764171615, 20.31601646886146 , Wola Batorska Leśniczówka
50.050732052910455, 20.322240244838564, Zabierzów Bocheński Cmentarz
50.054524459097614, 20.324861251542522, Zabierzów Bocheński Bobrowe Rozlewisko
50.058550507750184, 20.329425144998975, Zabierzów Bocheński Kościół
50.065691967111704, 20.324222721665652, Zabierzów Bocheński św. Jana
50.06817464723083 , 20.318158181705837, Zabierzów Bocheński OSP
50.07763975298825 , 20.315338199300015, Zabierzów Bocheński Winnica
50.084638551840555, 20.317740588202593, Zabierzów Bocheński Rezerwat Koło
50.08662719142221 , 20.321283091180593, Wola Zabierzowska Nowa Wieś
