Lp. , Nazwa Muzeum , Kod pocztowy , Miejscowość , ul/plac/aleja, Ulica , nr budynku, nr lokalu, adres dodatkowy , Nazwa Organizatora , Data wpisu do Państwowego Rejestru Muzeów, Data wykreślenia z Państwowego Rejestru Muzeów, , , , , Uwagi
78. , Muzeum im. Zofii i Wacława Nałkowskich w Wołominie , 05-200 ul. Wacława Nałkowskiego 17 , Wołomin , ul. , Wacława Nałkowskiego , 17 , , , Gmina Wołomin , 30.08.2004 , , , , , , 
79. , Muzeum Mazowieckie w Płocku , 09-402 ul. Tumska 8 , Płock , ul. , Tumska , 8 , , , Samorząd Województwa Mazowieckiego , 30.08.2004 , , , , , , 
80. , Muzeum Narodowe w Poznaniu , 61-745 Al. Karola Marcinkowskiego 9 , Poznań , Al. , Karola Marcinkowskiego , 9 , , , Minister Kultury i Dziedzictwa Narodowego , 30.08.2004 , , , , , , 
81. , Muzeum Powstania Warszawskiego , 00-844 ul. Grzybowska 79 , Warszawa , ul. , Grzybowska , 79 , , , Miasto Stołeczne Warszawa , 21.09.2005 , , , , , , 
82. , Muzeum Etnograficzne im. Marii Znamierowskiej-Prufferowej w Toruniu , 87-100 ul. Wały gen. Sikorskiego 19 , Toruń , ul. , Wały gen. Sikorskiego , 19 , , , Województwo Kujawsko-Pomorskie , 21.09.2005 , , , , , , 
83. , Muzeum Regionalne w Stalowej Woli , 37-464 ul. Sandomierska 1 , Stalowa Wola , ul. , Sandomierska , 1 , , , Gmina Stalowa Wola , 21.09.2005 , , , , , , 
84. , Muzeum Historyczne Miasta Krakowa , 31-011 ul. Rynek Główny 35 , Kraków , ul. , Rynek Główny , 35 , , , Gmina Miejska Kraków , 21.09.2005 , , , , , , 
85. , Muzeum Budownictwa Ludowego w Sanoku , 38-500 ul. Traugutta 3 , Sanok , ul. , Traugutta , 3 , , , Województwo Podkarpackie , 21.09.2005 , , , , , , 
86. , Muzeum Śląskie w Katowicach , 40-005 al. Wojsciecha Korfantego 3 , Katowice , al. , Wojciecha Korfantego , 3 , , , "Minister Kultury i Dziedzictwa Narodowego, Województwo Śląskie" , 07.07.2006 , , , , , , 
87. , Muzeum Ziemi Puckiej im. Floriana Ceynowy w Pucku , 84-100 pl. Wolności 28 , Puck , pl. , Wolności , 28 , , , Powiat Pucki , 07.07.2006 , , , , , , 
88. , Muzeum Piśmiennictwa i Muzyki Kaszubsko-Pomorskiej w Wejherowie , 84-200 ul. Zamkowa 2a , Wejherowo , ul. , Zamkowa , 2a , , , Powiat Wejherowski. Wspólna instytucja kultury Powiatu Wejherowskiego i Województwa Pomorskiego , 07.07.2006 , , , , , , 
89. , Muzeum Warmii i Mazur w Olsztynie , 10-074 ul. Zamkowa 2 , Olsztyn , ul. , Zamkowa , 2 , , , Województwo Warmińsko – Mazurskie , 07.07.2006 , , , , , , 
90. , Muzeum Archeologiczne w Krakowie , 31-002 ul. Senacka 3 , Kraków , ul. , Senacka , 3 , , , Województwo Małopolskie , 07.07.2006 , , , , , , 
91. , Muzeum Lotnictwa Polskiego w Krakowie , 31-864 Al. Jana Pawła II 39 , Kraków , Al. , Jana Pawła II , 39 , , , Województwo Małopolskie , 07.07.2006 , , , , , , 
92. , Muzeum Ziemi Sądeckiej , 33-300 ul. Lwowska 3 , Nowy Sącz , ul. , Jagiellońska , 56 , , , Województwo Małopolskie , 07.07.2006 , , , , , , 
93. , Muzeum Tatrzańskie im. dra Tytusa Chałubińskiego w Zakopanem , 34-500 ul. Krupówki 10 , Zakopane , ul. , Krupówki , 10 , , , Województwo Małopolskie , 07.07.2006 , , , , , , 
94. , Muzeum Etnograficzne im. Seweryna Udzieli w Krakowie , 31-066 ul. Krakowska 46 , Kraków , ul. , Krakowska , 46 , , , Województwo Małopolskie , 07.11.2006 , , , , , , 
95. , Muzeum - Zamek w Oporowie , 99-322 Oporów 34 , Oporów , , Oporów , 34 , , , Powiat Kutnowski , 22.02.2007 , , , , , , 
96. , Muzeum Narodowe Ziemi Przemyskiej w Przemyślu , 37- 700 pl. Płk. Berka – Joselewicza 1 , Przemyśl , pl. , Płk. Berka – Joselewicza , 1 , , , Województwo Podkarpackie , 22.02.2007 , , , , , , 
97. , Muzeum Archeologiczno-Historyczne w Głogowie , 67-200 ul. Brama Brzostowska 1 , Głogów , ul. , Brama Brzostowska , 1 , , , Gmina Miejska Głogów , 30.12.2008 , , , , , , 
98. , Muzeum Okręgowe w Lesznie , 64-100 pl. Jana Metziga 17 , Leszno , pl. , Jana Metziga , 17 , , , Województwo Wielkopolskie , 30.12.2008 , , , , , , 
99. , Muzeum Budownictwa Ludowego - Park Etnograficzny w Olsztynku , 11-015 ul. Leśna 23 , Olsztynek , ul. , Leśna , 23 , , , Województwo Warmińsko – Mazurskie , 30.12.2008 , , , , , , 
100., Muzeum w Koszalinie , 75-420 ul. Młyńska 37-39 , Koszalin , ul. , Młyńska , 37 , 39, , Miasto Koszalin , 30.12.2009 , , , , , , 
101., Muzeum Okręgowe im. Leona Wyczółkowskiego w Bydgoszczy , 85-006 ul. Gdańska 4 , Bydgoszcz , ul. , Gdańska , 4 , , , Miasto Bydgoszcz , 30.12.2009 , , , , , , 
102., Muzeum Mikołaja Kopernika we Fromborku , 14-530 ul. Katedralna 8 , Frombork , ul. , Katedralna , 8 , , , Województwo Warmińsko – Mazurskie , 30.12.2009 , , , , , , 
103., Muzeum Kultury Ludowej w Kolbuszowej , 36-100 ul. Tadeusza Kościuszki 6 , Kolbuszowa , ul. , Tadeusza Kościuszki , 6 , , , Województwo Podkarpackie , 31.01.2011 , , , , , , 
104., Muzeum Małopolski Zachodniej w Wygiełzowie , 32-551 Wygiełzów ul. Podzamcze 1 , Babice Wygiełzów , ul. , Podzamcze , 1 , , , "Województwo Małopolskie, Gmina Chrzanów " , 31.01.2011 , , , , , , 
105., Muzeum Narodowe w Szczecinie , 70-561 ul. Staromłyńska 27 , Szczecin , ul. , Staromłyńska , 27 , , , "Minister Kultury i Dziedzictwa Narodowego, Województwo Zachodniopomorskie" , 31.01.2011 , , , , , , 
106., Muzeum - Orawski Park Etnograficzny w Zubrzycy Górnej , 34-484 Zubrzyca Górna 388 , Zubrzyca Górna , , Zubrzyca Górna , 388 , , , Województwo Małopolskie , 31.01.2011 , , , , , , 
107., Muzeum Historyczno-Etnograficzne im. Juliana Rydzkowskiego w Chojnicach , 89-600 ul. Podmurna 15 , Chojnice , ul. , Podmurna , 15 , , , Powiat Chojnicki , 15.07.2011 , , , , , , 
109., Muzeum Północno-Mazowieckie w Łomży , 18-400 ul. Dworna 22C , Łomża , ul. , Dworna , 22C , , , Miasto Łomża , 15.07.2011 , , , , , , 
110., Muzeum Uniwersytetu Jagiellońskiego , 31-010 ul. Jagiellońska 15 , Kraków , ul. , Jagiellońska , 15 , , , Uniwersytet Jagielloński , 15.07.2011 , , , , , , 
111., Muzeum Zachodnio-Kaszubskie w Bytowie , 77-100 ul. Zamkowa 2 , Bytów , ul. , Zamkowa , 2 , , , Województwo Pomorskie , 26.06.2012 , , , , , , 
112., Muzeum Kultury Ludowej w Węgorzewie , 11-600 ul. Portowa 1 , Węgorzewo , ul. , Portowa , 1 , , , Województwo Warmińsko – Mazurskie , 26.06.2012 , , , , , , 
113., Muzeum Narodowe we Wrocławiu , 50-153 Pl. Powstańców Warszawy 5 , Wrocław , Pl. , Powstańców Warszawy , 5 , , , Minister Kultury i Dziedzictwa Narodowego , 26.06.2012 , , , , , , 
114., Muzeum Zamojskie w Zamościu , 22-400 ul. Ormiańska 30 , Zamość , ul. , Ormiańska , 30 , , , Miasto Zamość , 26.06.2012 , , , , , , 
115., Muzeum Papiernictwa w Dusznikach Zdroju , 57-340 ul. Kłodzka 42 , Duszniki Zdrój , ul. , Kłodzka , 42 , , , Samorząd Województwa Dolnośląskiego , 28.06.2013 , , , , , , 
116., Centralne Muzeum Włókiennictwa w Łodzi , 93-034 ul. Piotrkowska 282 , Łódź , ul. , Piotrkowska , 282 , , , Miasto Łódź , 28.06.2013 , , , , , , 
117., Muzeum Architektury we Wrocławiu , 50-156 ul. Bernardyńska 5 , Wrocław , ul. , Bernardyńska , 7 , , , Gmina Wrocław , 28.06.2013 , , , , , , 
118., Muzeum Sztuki i Techniki Japońskiej Manggha , 30-302 ul. Marii Konopnickiej 26 , Kraków , ul. , Marii Konopnickiej , 26 , , , Minister Kultury i Dziedzictwa Narodowego , 21.08.2013 , , , , , , 
119., Muzeum Wsi Mazowieckiej w Sierpcu , 09-200 ul. Gabriela Narutowicza 64 , Sierpc , ul. , Gabriela Narutowicza , 64 , , , Samorząd Województwa Mazowieckiego , 12.02.2014 , , , , , , 
120., Muzeum Historii Fotografii im. Walerego Rzewuskiego w Krakowie , 30-045 ul. Józefitów 16 , Kraków , ul. , Józefitów , 16 , , , Gmina Miejska Kraków , 12.02.2014 , , , , , , 
121., Muzeum Okręgowe w Suwałkach , 16-400 ul. T. Kościuszki 81 , Suwałki , ul. , T. Kościuszki , 81 , , , Miasto Suwałki , "12.02.2014" , , , , , , 
122., Muzeum Gdańska , 80-831 ul. Długa 46/47 , Gdańsk , ul. , Długa , 46 , 47, , Gmina Miasta Gdańska , 30.12.2014 , , , , , , 
123., Muzeum Romantyzmu w Opinogórze , 06-406 ul. Zygmunta Krasińskiego 9 , Opinogóra , ul. , Zygmunta Krasińskiego , 9 , , , Samorząd Województwa Mazowieckiego , 1.04.2015 , , , , , , 
124., Muzeum Historyczne w Bielsku-Białej , 43-300 , Bielsko-Biała , ul. , Wzgórze , 16 , , , Samorząd Województwa Śląskiego , 26.07.2016 , , , , , , 
125., Muzeum Wojska w Białymstoku , 15-089 ul. Jana Kilińskiego 7 , Białystok , ul. , Jana Kilińskiego , 7 , , , Misto Białystok , 26.07.2016 , , , , , , 
126., Muzeum Dawnego Kupiectwa w Świdnicy , 58-100 , Świdnica , ul. , Rynek , 37 , , , Gmina Miasto Świdnica , 28.12.2017 , , , , , , 
127., Muzeum Historii Żydów Polskich POLIN , 00-157 , Warszawa , ul. , Anielewicza , 6 , , , "Minister Kultury i Dziedzictwa Narodowego, Miasto Stołeczne Warszawa oraz Stowarzyszenie Żydowski Instytut Historyczny w Polsce", 28.12.2017 , , , , , , 
128., Muzeum Fryderyka Chopina w Warszawie , 00-368 , Warszawa , ul. , Okólnik , 1 , , , Narodowy Instytut Fryderyka Chopina , 28.12.2017 , , , , , , 
129., "Muzeum ""Górnośląski Park Etnograficzny w Chorzowie""" , 41-500 , Chorzów , ul. , Parkowa , 25 , , , Województwo Śląskie , 28.12.2017 , , , , , , 
130., Muzeum Narodowe w Kielcach , 25-010 , Kielce , Plac , Zamkowy , 1 , , , "Minister Kultury i Dziedzictwa Narodowego, Województwo Świętokrzyskie" , 06.03.2019 , , , , , , 
131., Muzeum II Wojny Światowej w Gdańsku , 80-862 , Gdańsk , Plac , Władysława Bartoszewskiego , 1 , , , Minister Kultury i Dziedzictwa Narodowego , 06.03.2019 , , , , , , 
132., Muzeum Łazienki Królewskie w Warszawie , 00-460 , Warszawa , ul. , Agrykola , 1 , , , Minister Kultury i Dziedzictwa Narodowego , 06.03.2019 , , , , , , 
133., Muzeum Miejskie w Żorach , 44-240 , Żory , ul. , Muzealna , 1/2 , , , Gmina Miejska Żory , 06.03.2019 , , , , , , 
134., Muzeum Zamek Tarnowskich w Tarnobrzegu , 39-400 , Tarnobrzeg , ul. , Sandomierska , 27 , , , Gmina Tarnobrzeg , 15.09.2020 , , , , , , 
135., Muzeum Górnośląskie w Bytomiu , 41-902 , Bytom , Plac , Jana III Sobieskiego , 2 , , , Województwo Śląskie , 19.03.2021 , , , , , , 
