official_name,short_name,addr:postcode,addr:city,addr:street,addr:housenumber,opening_hours,operator,__id
Zakład Ubezpieczeń Społecznych - Inspektorat Kraków - Łagiewniki,Inspektorat ZUS Kraków - Łagiewniki,30-418,Kraków - Łagiewniki,Zakopiańska,33,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Krakowie,-869348222
Zakład Ubezpieczeń Społecznych - Inspektorat Kraków - Nowa Huta,Inspektorat ZUS Kraków - Nowa Huta,31-946,Kraków,os. Teatralne,8,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Krakowie,-24599829
Zakład Ubezpieczeń Społecznych - Inspektorat Kraków - Podgórze,Inspektorat ZUS Kraków - Podgórze,30-418,Kraków,Zakopiańska,33,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Krakowie,-624113595
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Miechowie,Biuro Terenowe ZUS w Miechowie,32-200,Miechów,Podzamcze,14,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Krakowie,-593750518
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Myślenicach,Biuro Terenowe ZUS w Myślenicach,32-400,Myślenice,Drogowców,6,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Krakowie,-839260693
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Proszowicach,Biuro Terenowe ZUS w Proszowicach,32-100,Proszowice,Reja,3,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Krakowie,-706717154
Zakład Ubezpieczeń Społecznych - Oddział w Legnicy,Oddział ZUS w Legnicy,59-220,Legnica,Wł. Grabskiego,26,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,,-396690298
Zakład Ubezpieczeń Społecznych - Inspektorat w Bolesławcu,Inspektorat ZUS w Bolesławcu,59-700,Bolesławiec,Kwiatowa,2,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Legnicy,-85393873
Zakład Ubezpieczeń Społecznych - Inspektorat w Głogowie,Inspektorat ZUS w Głogowie,67-200,Głogów,Morcinka,14,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Legnicy,-284943403
Zakład Ubezpieczeń Społecznych - Inspektorat w Jaworze,Inspektorat ZUS w Jaworze,59-400,Jawor,Gagarina,5,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Legnicy,-319157195
Zakład Ubezpieczeń Społecznych - Inspektorat w Lubinie,Inspektorat ZUS w Lubinie,59-300,Lubin,Drzymały,12,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Legnicy,-154008299
Zakład Ubezpieczeń Społecznych - Inspektorat w Złotoryi,Inspektorat ZUS w Złotoryi,59-500,Złotoryja,Basztowa,9,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Legnicy,-520109073
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Górze,Biuro Terenowe ZUS w Górze,56-200,Góra,Wrocławska,54,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Legnicy,-275574431
