name|brand|brand:wikidata|addr:postcode|addr:city|addr:place|addr:street|addr:housenumber|addr:door|@lat|@lon|@id
Delikatesy Centrum|Delikatesy Centrum||59-700|Bolesławiec||Sadowa|21||51.2653987|15.5327968|node/2598674158
Delikatesy Centrum|||24-240|Tokarnia||Do grotki|||49.7366970|19.8907913|node/2609361876
Delikatesy Centrum|Delikatesy Centrum||34-100|Wadowice||Osiedle Mikołaja Kopernika|10||49.8766363|19.4996451|node/2619803476
Delikatesy Centrum|Delikatesy Centrum||32-650|Kęty||Henryka Sienkiewicza|14||49.8823209|19.2296747|node/2629965198
Delikatesy Centrum|Delikatesy Centrum||46-200|Kluczbork||Ossowskiego|11D||50.9822601|18.2041806|node/2630227974
Delikatesy Centrum|||55-300|Środa Śląska||Legnicka|28||51.1640883|16.5856292|node/2640120561
Delikatesy Centrum|Delikatesy Centrum||32-641|Przeciszów||Podlesie|3||50.0107673|19.3716507|node/2644697983
Delikatesy Centrum|||56-100|Wołów||Zwycięstwa|||51.3363983|16.6461955|node/2654864099
Delikatesy Centrum|Delikatesy Centrum||36-211||Jasionów||163||49.6577151|21.9966018|node/2684104306
Delikatesy Centrum|Delikatesy Centrum||32-650|Kęty||Partyzantów|28A||49.8774202|19.1964291|node/2686773477
Delikatesy Centrum|Delikatesy Centrum||34-325|Łodygowice||Józefa Piłsudskiego|164||49.7351984|19.1284188|node/2698805795
Delikatesy Centrum|||33-172|Siedliska||977|||49.8624084|21.0194938|node/2706753909
Delikatesy Centrum|||36-200|Brzozów||Tadeusza Kościuszki|||49.6972401|22.0227737|node/2752282632
Delikatesy Centrum|Delikatesy Centrum||28-300|Jędrzejów||Dojazd|||50.6455995|20.2808821|node/2758574684
Delikatesy Centrum|Delikatesy Centrum||32-410|Dobczyce||Rynek|1||49.8809506|20.0892369|node/2767264848
Delikatesy Centrum|||35-322|Rzeszów||Księdza Jana Stączka|47a||50.0592104|22.0472290|node/2775277311
Delikatesy Centrum|Delikatesy Centrum||68-200|Żary||Podwale|14B||51.6364927|15.1426706|node/2791662330
Delikatesy Centrum|||32-048||Gotkowice||85||50.2229488|19.7406374|node/2814244567
Delikatesy Centrum|||29-105|Krasocin||Macierzy Szkolnej|3||50.8881694|20.1135675|node/2837671752
Delikatesy Centrum|||28-232|Łubnice||79|||50.4107862|21.1487314|node/2838499022
Delikatesy Centrum|||33-343||Rytro||572||49.4926072|20.6822960|node/2852564929
Delikatesy Centrum|Delikatesy Centrum||74-320|Barlinek||Niepodległości|||52.9928947|15.2168426|node/2852979545
Delikatesy Centrum|||34-650||Zamieście||70||49.7208881|20.3423278|node/2859790804
Delikatesy Centrum|Delikatesy Centrum||18-200|Wysokie Mazowieckie||Rynek Józefa Piłsudskiego|41||52.9194867|22.5145188|node/2860147840
Delikatesy Centrum|||50-321|Wrocław||Stefana Żeromskiego|||51.1223640|17.0474723|node/2882029010
Delikatesy Centrum|||58-160|Świebodzice||Osiedle Sudeckie|10||50.8573676|16.3329737|node/2884295261
Delikatesy Centrum|||53-343|Wrocław||Komandorska|147||51.0929563|17.0253712|node/2885210574
Delikatesy Centrum|Delikatesy Centrum||59-900|Zgorzelec||Józefa Poniatowskiego|24||51.1544554|15.0152616|node/2895315204
Delikatesy Centrum|Delikatesy Centrum||10-459|Olsztyn||Pana Tadeusza|6||53.7768898|20.5055076|node/2897523942
Delikatesy Centrum|Delikatesy Centrum||26-605|Radom||Stefanii Sempołowskiej|5||51.4184101|21.1684358|node/2903163733
Delikatesy Centrum|||22-650|Łaszczów||3 Maja|16||50.5326117|23.7269446|node/2908970980
Delikatesy Centrum|||42-235|Lelów||Plac Partyzantów|5||50.6832466|19.6254913|node/2909863578
Delikatesy Centrum|||55-120|Oborniki Śląskie||Marii Skłodowskiej-Curie|2||51.3010950|16.9154691|node/2928048654
Delikatesy Centrum|Delikatesy Centrum||33-113|Zgłobice||Krakowska|26||49.9785814|20.9038009|node/2935179007
Delikatesy Centrum|Delikatesy Centrum||36-042||Lubenia||416||49.9255547|21.9329579|node/2958447050
Delikatesy Centrum|||35-604|Rzeszów||Jazowa|67||50.0048211|22.0091228|node/2962193005
Delikatesy Centrum|||36-041|Zarzecze||19|||49.9556521|21.9150824|node/2963126945
Delikatesy Centrum|Delikatesy Centrum||35-317|Rzeszów||Jana Pawła II|175||49.9789751|21.9926180|node/2964977018
Delikatesy Centrum|Delikatesy Centrum||77-320|Przechlewo||Człuchowska|22||53.7985408|17.2518426|node/2972588432
Delikatesy Centrum|Delikatesy Centrum||77-310|Debrzno||Czerniakowska|7||53.5397068|17.2410098|node/2972595100
Delikatesy Centrum|Delikatesy Centrum||37-100||Sonina||301A||50.0559572|22.2721434|node/2975367199
Delikatesy Centrum|Delikatesy Centrum||44-213|Książenice||Teofila Brzozy|4A||50.1532360|18.5993358|node/2976493412
Delikatesy Centrum|||87-400|Golub-Dobrzyń||Plac Tysiąclecia|3||53.1094506|19.0517339|node/2984966297
Delikatesy Centrum|Delikatesy Centrum||23-408||Aleksandrów||163||50.4635315|22.9125076|node/2993581645
Delikatesy Centrum|Delikatesy Centrum||01-523|Warszawa||Śmiała|1/3||52.2617545|20.9940919|node/2999186270
Delikatesy Centrum|||37-500|Jarosław||Sanowa|20||50.0249997|22.7153421|node/3017229121
Delikatesy Centrum|||32-070|Czernichów||Dworska|1||49.9879848|19.6751579|node/3023958512
Delikatesy Centrum|Delikatesy Centrum||38-124||gmina Wiśniowa||258||49.8676979|21.6507486|node/3027711812
Delikatesy Centrum|||38-300|Gorlice||Juliana Tuwima|9||49.6631210|21.1661636|node/3028702105
Delikatesy Centrum|Delikatesy Centrum||63-940|Bojanowo||Powstańców Wielkopolskich|||51.7025541|16.7467205|node/3035992281
Delikatesy Centrum|||36-206|Humniska||886|||49.6754940|22.0510990|node/3045409093
Delikatesy Centrum|||36-207|Grabownica Starzeńska||886|||49.6569437|22.0770679|node/3045451788
Delikatesy Centrum|||37-300|Leżajsk||św. Jana z Dukli|||50.2635302|22.4099985|node/3046474666
Delikatesy Centrum|||33-160|Ryglice||Podkarpacka|18||49.8802896|21.1408100|node/3059838572
Delikatesy Centrum|Delikatesy Centrum||57-400|Nowa Ruda||Teatralna|11||50.5814913|16.4975656|node/3061281090
